t,x,y
0.000000,1.000000,0.000000
0.098175,0.995185,0.098017
0.196350,0.980785,0.195090
0.294524,0.956940,0.290285
0.392699,0.923880,0.382683
0.490874,0.881921,0.471397
0.589049,0.831470,0.555570
0.687223,0.773010,0.634393
0.785398,0.707107,0.707107
0.883573,0.634393,0.773010
0.981748,0.555570,0.831470
1.079922,0.471397,0.881921
1.178097,0.382683,0.923880
1.276272,0.290285,0.956940
1.374447,0.195090,0.980785
1.472621,0.098017,0.995185
1.570796,0.000000,1.000000
1.668971,-0.098017,0.995185
1.767146,-0.195090,0.980785
1.865320,-0.290285,0.956940
1.963495,-0.382683,0.923880
2.061670,-0.471397,0.881921
2.159845,-0.555570,0.831470
2.258019,-0.634393,0.773010
2.356194,-0.707107,0.707107
2.454369,-0.773010,0.634393
2.552544,-0.831470,0.555570
2.650718,-0.881921,0.471397
2.748893,-0.923880,0.382683
2.847068,-0.956940,0.290285
2.945243,-0.980785,0.195090
3.043417,-0.995185,0.098017
3.141593,-1.000000,0.000000
3.239767,-0.995185,-0.098017
3.337942,-0.980785,-0.195090
3.436117,-0.956940,-0.290285
3.534292,-0.923880,-0.382683
3.632466,-0.881921,-0.471397
3.730641,-0.831470,-0.555570
3.828816,-0.773010,-0.634393
3.926991,-0.707107,-0.707107
4.025165,-0.634393,-0.773010
4.123340,-0.555570,-0.831470
4.221515,-0.471397,-0.881921
4.319690,-0.382683,-0.923880
4.417864,-0.290285,-0.956940
4.516039,-0.195090,-0.980785
4.614214,-0.098017,-0.995185
4.712389,-0.000000,-1.000000
4.810563,0.098017,-0.995185
4.908738,0.195090,-0.980785
5.006913,0.290285,-0.956940
5.105088,0.382683,-0.923880
5.203262,0.471397,-0.881921
5.301437,0.555570,-0.831470
5.399612,0.634393,-0.773010
5.497787,0.707107,-0.707107
5.595961,0.773010,-0.634393
5.694136,0.831470,-0.555570
5.792311,0.881921,-0.471397
5.890486,0.923880,-0.382683
5.988660,0.956940,-0.290285
6.086835,0.980785,-0.195090
6.185010,0.995185,-0.098017
