feature,horizon,bin,n,feature_min,feature_max,future_rv_mean,future_lr_mean,p_up
vol_20,3,"(-0.00055, 0.00286]",9309,0.0004497549426960793,0.00285863117684484,0.002450417541075773,7.761514919373449e-06,0.5030622112388525
vol_20,3,"(0.00286, 0.00407]",9312,0.0028588502022995413,0.004070552157195442,0.003646970923994053,2.1178899200955475e-05,0.5027920962199313
vol_20,3,"(0.00407, 0.00535]",9312,0.004070794918325217,0.005352919696274176,0.004221345877213988,-0.00020368595478298008,0.4965635738831615
vol_20,3,"(0.00535, 0.00724]",9312,0.005352962322269213,0.007237136673217223,0.004923562962999559,0.00013922133308023654,0.5163265306122449
vol_20,3,"(0.00724, 0.0375]",9312,0.007237398662704658,0.03747416829203459,0.007725982501895237,0.000349655488093761,0.5182560137457045
vol_20,3,nan,9,,,0.0031219026081658616,-0.00042477877724797806,0.4444444444444444
volume_imbalance,3,"(-0.0367, 0.00423]",9313,-0.03665647789433484,0.004230530193316412,0.004893096971984739,6.022021788496993e-05,0.5065506872852233
volume_imbalance,3,"(-0.103, -0.0367]",9314,-0.10262697077885781,-0.03666550314807,0.0050250476970827036,0.0001211176495587442,0.527327391817889
volume_imbalance,3,"(-0.775, -0.103]",9314,-0.77371830601974,-0.10262898044662774,0.003878785934978262,0.00034581810910508067,0.541881443298969
volume_imbalance,3,"(0.00423, 0.0577]",9312,0.004233450060502204,0.0577289042787749,0.004876110991686931,-0.00016626233492046563,0.4847508591065292
volume_imbalance,3,"(0.0577, 0.634]",9313,0.057729129864905145,0.6337688558013671,0.004294567092408362,-4.7277084934666256e-05,0.4764307956619779
log_return,3,"(-0.000785, 0.000882]",9310,-0.0007850778627584987,0.0008820533887270443,0.0034075614836426133,-0.0001248577454497528,0.49591749033089816
log_return,3,"(-0.0031, -0.000785]",9314,-0.0030976121269450374,-0.0007853033374054519,0.003933234190118995,0.00016814836134786403,0.5265757543219156
log_return,3,"(-0.0948, -0.0031]",9314,-0.09381047804599696,-0.003098270184636931,0.005970299198912653,0.0003165597351355476,0.5521795147090401
log_return,3,"(0.000882, 0.00322]",9314,0.0008820713025947668,0.0032208824986525997,0.0038979891768555763,-0.00016781721163336443,0.4784195834228044
log_return,3,"(0.00322, 0.116]",9314,0.0032212343873982974,0.11614521215272866,0.005757954567737937,0.00012156410771156604,0.48383979383657255
vwap_dev,3,"(-0.000383, 0.000476]",9311,-0.0003831120489301033,0.0004760952508001565,0.00346496278087332,-6.298712351481445e-05,0.4970465041348942
vwap_dev,3,"(-0.00161, -0.000383]",9313,-0.0016114707489176781,-0.00038355112325690727,0.0038797345662764395,8.071596255737097e-06,0.522229381443299
vwap_dev,3,"(-0.0474, -0.00161]",9314,-0.046413512873994686,-0.0016116201971045053,0.005897212397767272,0.00045088579810219635,0.5493880180373631
vwap_dev,3,"(0.000476, 0.00173]",9312,0.00047612487433634093,0.001730940647870677,0.003881796586484606,-6.520622534724294e-05,0.4783589302974976
vwap_dev,3,"(0.00173, 0.0608]",9314,0.001731117684306441,0.06079696647913869,0.0058435495634228595,-1.6475218151160965e-05,0.4899054982817869
vwap_dev,3,nan,2,,,0.0031921234919917822,-0.003126624765996233,0.5
rolling_corr_ref_12,3,"(0.99999999998758, 0.99999999999984]",9312,0.9999999999875852,0.9999999999998367,0.002397921567060992,0.00010317566533316182,0.5037052948125873
rolling_corr_ref_12,3,"(0.99999999999984, 0.99999999999993]",9317,0.9999999999998368,0.9999999999999304,0.003629239931029463,-0.00022740706142220058,0.4974237870330614
rolling_corr_ref_12,3,"(0.99999999999993, 0.99999999999997]",9341,0.9999999999999305,0.9999999999999678,0.004193773433863398,0.00012244467586658108,0.5093673054276844
rolling_corr_ref_12,3,"(0.99999999999997, 0.99999999999999]",9329,0.9999999999999679,0.9999999999999882,0.0050486094149731495,0.00031738545732521654,0.5178513991637183
rolling_corr_ref_12,3,"(0.99999999999999, 1.00000000000004]",9262,0.9999999999999883,1.0000000000000386,0.00771697200383127,-4.5654925455403127e-07,0.5088533793996977
rolling_corr_ref_12,3,nan,5,,,0.0022367575872572886,-0.00421842063821849,0.0
rolling_corr_ref_24,3,"(0.99999999999348, 0.99999999999984]",9313,0.9999999999934945,0.9999999999998376,0.0024288221303352016,-8.48950874480129e-06,0.4995167006766191
rolling_corr_ref_24,3,"(0.99999999999984, 0.99999999999992]",9312,0.9999999999998377,0.9999999999999222,0.003492561431170788,-7.524225766124265e-05,0.4997852233676976
rolling_corr_ref_24,3,"(0.99999999999992, 0.99999999999996]",9343,0.9999999999999223,0.9999999999999549,0.004173901399436331,5.921012148281311e-06,0.5067965321631168
rolling_corr_ref_24,3,"(0.99999999999996, 0.99999999999998]",9294,0.999999999999955,0.999999999999976,0.0050330959371549236,0.00010767533752532223,0.5147438656909169
rolling_corr_ref_24,3,"(0.99999999999998, 1.0]",9293,0.9999999999999761,1.0000000000000004,0.007849402345715665,0.0002840987859102167,0.5160873775960401
rolling_corr_ref_24,3,nan,11,,,0.0036513158942008714,0.0004434789034647547,0.5454545454545454
