feature,horizon,bin,n,feature_min,feature_max,future_rv_mean,future_lr_mean,p_up
vol_20,3,"(0.00511, 0.0122]",598,0.00611278928439025,0.012219169805127161,0.012581852287199307,0.0015147852948950685,0.5360134003350083
vol_20,3,"(0.0122, 0.0152]",598,0.012220623291722892,0.015206050136271224,0.01336803656023346,-0.0004582516881169685,0.474036850921273
vol_20,3,"(0.0152, 0.0183]",598,0.015207785181143985,0.01834361568197889,0.015144856273979273,-0.005730489965801921,0.4321608040201005
vol_20,3,"(0.0183, 0.0229]",597,0.018354943986638263,0.022873237508660445,0.01764685496212664,-0.002493148015489446,0.4748322147651007
vol_20,3,"(0.0229, 0.0692]",596,0.022879799508584597,0.06918875452419856,0.01817444893808759,-0.0010270659151030577,0.49161073825503354
vol_20,12,"(0.00511, 0.0122]",598,0.00611278928439025,0.012219169805127161,0.014464780584889366,0.007205151904419803,0.5819397993311036
vol_20,12,"(0.0122, 0.0152]",598,0.012220623291722892,0.015206050136271224,0.01583432015341506,-0.0034845227027779455,0.479933110367893
vol_20,12,"(0.0152, 0.0183]",598,0.015207785181143985,0.01834361568197889,0.01826213941582756,-0.023953439148004792,0.38127090301003347
vol_20,12,"(0.0183, 0.0229]",592,0.018354943986638263,0.022873237508660445,0.01952356549383671,-0.0055356854287691715,0.46790540540540543
vol_20,12,"(0.0229, 0.0692]",592,0.022879799508584597,0.06918875452419856,0.020577593117116665,-0.007617977492011954,0.4805414551607445
log_return,3,"(-0.00387, 0.00282]",599,-0.003842898202009337,0.002815523955655763,0.013871136982312444,-0.002293658949868438,0.48580968280467446
log_return,3,"(-0.0123, -0.00387]",597,-0.012239822618577811,-0.003876300463345528,0.01448606951338463,-0.0016850237664956505,0.47394957983193275
log_return,3,"(-0.275, -0.0123]",600,-0.274396183449201,-0.012270092591814219,0.017538761855546463,-0.001959580097508376,0.48327759197324416
log_return,3,"(0.00282, 0.0118]",600,0.0028170312599815617,0.011811479441829587,0.013923247004600224,-0.0013247797590500913,0.5016666666666667
log_return,3,"(0.0118, 0.14]",600,0.011820250283982148,0.1400269512655492,0.01696568081059426,-0.000553457187349915,0.4683333333333333
log_return,12,"(-0.00387, 0.00282]",598,-0.003842898202009337,0.002815523955655763,0.0167884943801517,-0.008583106384603719,0.4765886287625418
log_return,12,"(-0.0123, -0.00387]",596,-0.012239822618577811,-0.003876300463345528,0.017318775194098527,-0.006849369369991948,0.4966442953020134
log_return,12,"(-0.275, -0.0123]",597,-0.274396183449201,-0.012270092591814219,0.019407586709104994,-0.006546489645687499,0.4798657718120805
log_return,12,"(0.00282, 0.0118]",598,0.0028170312599815617,0.011811479441829587,0.016373316922764763,-0.005705735171030883,0.4782608695652174
log_return,12,"(0.0118, 0.14]",598,0.011820250283982148,0.1400269512655492,0.01865390332483455,-0.004337884653864155,0.4682274247491639
rolling_corr_ref_42,3,"(0.289, 0.68]",593,0.2900545897981101,0.6796490903427865,0.01647772092672755,-0.003571050846327396,0.4350758853288364
rolling_corr_ref_42,3,"(0.68, 0.758]",596,0.6797289682506247,0.7578873082729017,0.01582782676273835,-0.0006480296014493549,0.4991596638655462
rolling_corr_ref_42,3,"(0.758, 0.814]",595,0.7578905816086048,0.8135688811927887,0.015156960344255526,-0.003596749709494576,0.453781512605042
rolling_corr_ref_42,3,"(0.814, 0.866]",596,0.8136078967908874,0.8660553177099253,0.015281557905228671,0.0011347848743352368,0.5261382799325464
