feature,horizon,bin,n,feature_min,feature_max,future_rv_mean,future_lr_mean,p_up
vol_20,3,"(0.007319999999999999, 0.0183]",598,0.008323638743532783,0.01832742271980769,0.016372332204680356,-0.0003927828778916469,0.48494983277591974
vol_20,3,"(0.0183, 0.0236]",595,0.018330342756624037,0.023635033630586645,0.02450323848935244,-0.006101309892918644,0.44107744107744107
vol_20,3,"(0.0236, 0.029]",598,0.02364359658199963,0.0290348007535055,0.02376434339770872,-0.002368763856123425,0.46901172529313234
vol_20,3,"(0.029, 0.0363]",598,0.02904198612478526,0.036257786832432554,0.025386661729416126,-0.0015294569507887333,0.46733668341708545
vol_20,3,"(0.0363, 0.0981]",598,0.036313768033894876,0.09812001359119474,0.0318236471578916,-0.0007594617308220817,0.4280936454849498
vol_20,12,"(0.007319999999999999, 0.0183]",598,0.008323638743532783,0.01832742271980769,0.019741999357012686,0.0020431740781798598,0.4949664429530201
vol_20,12,"(0.0183, 0.0236]",586,0.018330342756624037,0.023635033630586645,0.027721005784449665,-0.022658356979562595,0.40784982935153585
vol_20,12,"(0.0236, 0.029]",598,0.02364359658199963,0.0290348007535055,0.026623418759766843,-0.006755929128008471,0.41638795986622074
vol_20,12,"(0.029, 0.0363]",598,0.02904198612478526,0.036257786832432554,0.03025826167800012,-0.001357954806014653,0.4765886287625418
vol_20,12,"(0.0363, 0.0981]",598,0.036313768033894876,0.09812001359119474,0.034944882248893826,-0.017074377439427108,0.42474916387959866
log_return,3,"(-0.00634, 0.00417]",596,-0.006335629991172015,0.004166151924348549,0.021084751528032762,-0.0031119606887110673,0.44798657718120805
log_return,3,"(-0.0197, -0.00634]",600,-0.01966134096605429,-0.006342302461133098,0.022607707032359207,-0.0030657206492343894,0.4533333333333333
log_return,3,"(-0.37, -0.0197]",600,-0.3688121445990657,-0.019679869634546987,0.027270556175810114,0.0018249300005581382,0.5191986644407346
log_return,3,"(0.00417, 0.0183]",600,0.004177021200774678,0.01827623377260057,0.021457386093705916,-0.005460686950189579,0.4323873121869783
log_return,3,"(0.0183, 0.183]",600,0.018289254394537435,0.18315749222974498,0.029280418394960168,-0.00027916878688019885,0.44407345575959933
log_return,12,"(-0.00634, 0.00417]",593,-0.006335629991172015,0.004166151924348549,0.02550030824568132,-0.011898726766112899,0.42495784148397975
log_return,12,"(-0.0197, -0.00634]",599,-0.01966134096605429,-0.006342302461133098,0.026218552232017276,-0.012727092575459259,0.42642140468227424
log_return,12,"(-0.37, -0.0197]",598,-0.3688121445990657,-0.019679869634546987,0.03036773563415745,-0.00041173397532057046,0.49246231155778897
log_return,12,"(0.00417, 0.0183]",599,0.004177021200774678,0.01827623377260057,0.026604753913593113,-0.006173241602951456,0.4507512520868113
log_return,12,"(0.0183, 0.183]",598,0.018289254394537435,0.18315749222974498,0.03067468342787213,-0.010798093501383362,0.43478260869565216
reference_close,3,"(101803.24, 110222.94]",600,101803.3,110219.9,0.02553578281177164,-0.005709151619493869,0.44816053511705684
reference_close,3,"(110222.94, 125329.4]",600,110227.5,125329.4,0.0229399734084201,-0.008100324076341063,0.44166666666666665
reference_close,3,"(62872.699, 80179.44]",600,62872.7,80170.8,0.02461857673396736,0.0028639468677712217,0.47333333333333333
reference_close,3,"(80179.44, 90049.06]",597,80185.2,90048.6,0.02254600256647155,-0.003193804368874859,0.4639865996649916
reference_close,3,"(90049.06, 101803.24]",599,90050.9,101803.0,0.026076108888363602,0.0040582672840352284,0.4698996655518395
reference_close,12,"(101803.24, 110222.94]",600,101803.3,110219.9,0.028448134988515943,-0.02104029578312291,0.4216666666666667
reference_close,12,"(110222.94, 125329.4]",600,110227.5,125329.4,0.027096252913106796,-0.028691406449031825,0.4006677796327212
reference_close,12,"(62872.699, 80179.44]",594,62872.7,80170.8,0.028431106632455894,0.009199106535984826,0.4831649831649832
reference_close,12,"(80179.44, 90049.06]",594,80185.2,90048.6,0.02630009803917939,-0.010858275134354748,0.47217537942664417
reference_close,12,"(90049.06, 101803.24]",599,90050.9,101803.0,0.029097231142033945,0.009589057613493586,0.4524207011686144
rolling_beta_ref_42,3,"(-0.565, 0.849]",596,-0.5642208940641823,0.8484717689641095,0.02237856721219056,-0.005304404551633869,0.4436974789915966
rolling_beta_ref_42,3,"(0.849, 1.235]",596,0.849941477367473,1.2352643531306253,0.02258372201563537,0.0021553741427291933,0.4815436241610738
rolling_beta_ref_42,3,"(1.235, 1.62]",595,1.2354453169018278,1.6196963560100561,0.022984516528282928,-0.0027171791728160585,0.4672268907563025
rolling_beta_ref_42,3,"(1.62, 2.1]",593,1.6197149967697024,2.097967749112366,0.02633742513225205,-0.0029345883311466636,0.4619289340101523
rolling_beta_ref_42,3,"(2.1, 4.455]",596,2.102919113854486,4.454823858800173,0.027465496530506922,-0.002383094989799261,0.4395973154362416
rolling_beta_ref_42,12,"(-0.565, 0.849]",596,-0.5642208940641823,0.8484717689641095,0.024745538617360265,-0.014481082708451297,0.4077181208053691
rolling_beta_ref_42,12,"(0.849, 1.235]",596,0.849941477367473,1.2352643531306253,0.025656075885514856,0.006193488478093654,0.4983164983164983
rolling_beta_ref_42,12,"(1.235, 1.62]",595,1.2354453169018278,1.6196963560100561,0.02591597675144264,-0.006656160876190964,0.45210084033613446
rolling_beta_ref_42,12,"(1.62, 2.1]",587,1.6197149967697024,2.097967749112366,0.03173443955896623,-0.017103986342089397,0.43270868824531517
rolling_beta_ref_42,12,"(2.1, 4.455]",593,2.102919113854486,4.454823858800173,0.03138204291260748,-0.013036113636039137,0.4350758853288364
relative_strength_12,3,"(-0.0315, 0.00612]",598,-0.03144111829091756,0.0060733987651300225,0.02128187746978322,0.00044281111835033847,0.47324414715719065
relative_strength_12,3,"(-0.0718, -0.0315]",594,-0.07181439920973354,-0.03152282385683591,0.02073735426041219,-0.004902577712216843,0.41652613827993257
relative_strength_12,3,"(-0.457, -0.0718]",598,-0.45579593146782393,-0.07182910139096776,0.027312978593665212,0.0009577902823769216,0.5058626465661642
