feature,horizon,bin,n,feature_min,feature_max,future_rv_mean,future_lr_mean,p_up
vol_20,3,"(0.00409, 0.0151]",596,0.005086316087774089,0.01506088502162003,0.014360136481872876,0.0033205897937612317,0.4991596638655462
vol_20,3,"(0.0151, 0.0186]",597,0.015066345311375767,0.01854291925184977,0.016858597382249135,-0.0016218559094480093,0.4824120603015075
vol_20,3,"(0.0186, 0.0227]",598,0.018582283637595554,0.02269634451212745,0.019779136944953275,0.0011090922165381187,0.5183946488294314
vol_20,3,"(0.0227, 0.0286]",598,0.022715496204414005,0.02854202686279321,0.019553673945725384,-0.00702779479269225,0.4665551839464883
vol_20,3,"(0.0286, 0.0661]",598,0.02863089281339507,0.06611975176985053,0.025133458733046076,0.00142178817391464,0.490787269681742
vol_20,12,"(0.00409, 0.0151]",587,0.005086316087774089,0.01506088502162003,0.0180755190964964,0.015620666453023443,0.5826235093696763
vol_20,12,"(0.0151, 0.0186]",597,0.015066345311375767,0.01854291925184977,0.019598628536998373,-0.007020296078380359,0.45896147403685095
vol_20,12,"(0.0186, 0.0227]",598,0.018582283637595554,0.02269634451212745,0.021370231991760434,0.016024665352501563,0.5535117056856187
vol_20,12,"(0.0227, 0.0286]",598,0.022715496204414005,0.02854202686279321,0.021248824437181433,-0.029612084129671392,0.3277591973244147
vol_20,12,"(0.0286, 0.0661]",598,0.02863089281339507,0.06611975176985053,0.02807832866000864,-0.00521140618668482,0.4866220735785953
log_return,3,"(-0.00472, 0.00404]",598,-0.004718821287987063,0.00402909685630376,0.016518945392704806,-0.0016207719133429592,0.4866220735785953
log_return,3,"(-0.0162, -0.00472]",600,-0.01621744824649274,-0.004724504750135333,0.017081838382559306,-0.0022359417168080777,0.48080133555926546
log_return,3,"(-0.137, -0.0162]",599,-0.13587605958377685,-0.016250568008540522,0.02190534998310248,2.8797520106189144e-05,0.5058430717863105
log_return,3,"(0.00404, 0.0155]",599,0.004040850799554241,0.01547430310269804,0.018556149258615595,0.0020279519205062923,0.49498327759197325
log_return,3,"(0.0155, 0.179]",600,0.015482128566322584,0.17928485569449548,0.021582291404297946,-0.0011073854506907814,0.4866666666666667
log_return,12,"(-0.00472, 0.00404]",597,-0.004718821287987063,0.00402909685630376,0.019776214711331754,0.0019153365611703516,0.509212730318258
log_return,12,"(-0.0162, -0.00472]",597,-0.01621744824649274,-0.004724504750135333,0.020382380762259327,-0.008402009031871435,0.4556113902847571
log_return,12,"(-0.137, -0.0162]",597,-0.13587605958377685,-0.016250568008540522,0.023817988737507585,-0.0034020392341532705,0.46901172529313234
log_return,12,"(0.00404, 0.0155]",596,0.004040850799554241,0.01547430310269804,0.020912640311687276,0.001693976608265754,0.4949664429530201
log_return,12,"(0.0155, 0.179]",600,0.015482128566322584,0.17928485569449548,0.023537067870079333,-0.0029484401413285327,0.475
relative_strength_12,3,"(-0.0181, 0.01]",598,-0.018092193490398145,0.010001719535285503,0.016687173995395835,0.0010497253937056489,0.5016722408026756
relative_strength_12,3,"(-0.0546, -0.0181]",595,-0.05457399688119047,-0.018205868143731152,0.017169356394494448,-0.0021267309645627394,0.4890756302521008
relative_strength_12,3,"(-0.268, -0.0546]",597,-0.26715034882381694,-0.05466346965060076,0.021051310045972386,-0.003979959895173054,0.47738693467336685
relative_strength_12,3,"(0.01, 0.0477]",597,0.010039167394769066,0.04763586763810501,0.01804158816166801,0.0009099821648308489,0.48403361344537815
relative_strength_12,3,"(0.0477, 0.473]",598,0.04770294976536782,0.47283289762800784,0.02277980646696372,0.001453818177261495,0.5066889632107023
relative_strength_12,12,"(-0.0181, 0.01]",598,-0.018092193490398145,0.010001719535285503,0.019978489874763514,-0.0013264516720768139,0.479933110367893
relative_strength_12,12,"(-0.0546, -0.0181]",587,-0.05457399688119047,-0.018205868143731152,0.020297028314436565,0.0002647081590808949,0.4991482112436116
relative_strength_12,12,"(-0.268, -0.0546]",596,-0.26715034882381694,-0.05466346965060076,0.023300655550773982,-0.005980794096326524,0.46140939597315433
relative_strength_12,12,"(0.01, 0.0477]",597,0.010039167394769066,0.04763586763810501,0.0205691328612196,-0.001875120754829443,0.5025125628140703
relative_strength_12,12,"(0.0477, 0.473]",598,0.04770294976536782,0.47283289762800784,0.024272823262172526,-0.001443676402897673,0.4665551839464883
reference_close,3,"(101803.24, 110222.94]",600,101803.3,110219.9,0.019310857710999534,-0.002253025551680154,0.5141903171953256
reference_close,3,"(110222.94, 125329.4]",600,110227.5,125329.4,0.019891585964098745,-0.0004464269513604883,0.48
reference_close,3,"(62872.699, 80179.44]",600,62872.7,80170.8,0.018007783771682884,0.004028438471517276,0.5266666666666666
reference_close,3,"(80179.44, 90049.06]",597,80185.2,90048.6,0.016409822620721246,-0.0035528302520334175,0.4697986577181208
reference_close,3,"(90049.06, 101803.24]",599,90050.9,101803.0,0.022020775776463553,-0.0007004622877688799,0.46410684474123537
reference_close,12,"(101803.24, 110222.94]",600,101803.3,110219.9,0.021589974135230186,-0.006359662561451694,0.5
reference_close,12,"(110222.94, 125329.4]",600,110227.5,125329.4,0.023006267683324276,-0.0017671612777980527,0.475
reference_close,12,"(62872.699, 80179.44]",594,62872.7,80170.8,0.020095996238219817,0.015877811859285478,0.5538720538720538
reference_close,12,"(80179.44, 90049.06]",594,80185.2,90048.6,0.018878511133790122,-0.01550131599769885,0.4595959595959596
reference_close,12,"(90049.06, 101803.24]",599,90050.9,101803.0,0.0248273666973832,-0.003356526130720179,0.41569282136894825
relative_strength_42,3,"(-0.034, 0.0269]",592,-0.03398987729837266,0.026841515107289382,0.01753705964371911,6.070050949467473e-05,0.4814189189189189
relative_strength_42,3,"(-0.1, -0.034]",588,-0.10021367854373686,-0.034284973798779816,0.01623780032654435,-0.0009846754110631585,0.5093696763202725
relative_strength_42,3,"(-0.519, -0.1]",592,-0.5181894563866702,-0.10038821904296213,0.021073652559635614,-0.0034025941873364516,0.47297297297297297
relative_strength_42,3,"(0.0269, 0.0964]",591,0.026930852491574342,0.09634819641696879,0.018338387272816798,0.0037648891622343605,0.5186440677966102
relative_strength_42,3,"(0.0964, 0.364]",592,0.09636615783178826,0.36448940807814445,0.022420039147856213,-0.0021291497012280373,0.47635135135135137
relative_strength_42,12,"(-0.034, 0.0269]",592,-0.03398987729837266,0.026841515107289382,0.01989109129641708,0.0017156355168795195,0.5050675675675675
relative_strength_42,12,"(-0.1, -0.034]",581,-0.10021367854373686,-0.034284973798779816,0.01981415121995232,-0.004533064918136616,0.504302925989673
relative_strength_42,12,"(-0.519, -0.1]",590,-0.5181894563866702,-0.10038821904296213,0.02360943969142134,-0.005500521447453535,0.44745762711864406
relative_strength_42,12,"(0.0269, 0.0964]",591,0.026930852491574342,0.09634819641696879,0.02062702534286904,0.003731050625852871,0.5143824027072758
relative_strength_42,12,"(0.0964, 0.364]",592,0.09636615783178826,0.36448940807814445,0.02431751723015763,-0.005476866472970732,0.44256756756756754
price_ratio_z_42,3,"(-0.509, 0.312]",596,-0.5085467233649466,0.31097581052578,0.017747734876989465,0.0014366222800669538,0.5042016806722689
price_ratio_z_42,3,"(-1.386, -0.509]",596,-1.3861194412193947,-0.5090905754496825,0.017767121654848565,-0.0010966621287456081,0.4983221476510067
