feature,horizon,bin,n,feature_min,feature_max,future_rv_mean,future_lr_mean,p_up
vol_20,3,"(0.007859999999999999, 0.0175]",598,0.008862198822195229,0.017466670420541786,0.016089971473097927,-0.0017670632566377479,0.48825503355704697
vol_20,3,"(0.0175, 0.0224]",595,0.01747109372382886,0.022435298841148452,0.019168937848113642,-0.002177030400846982,0.48067226890756304
vol_20,3,"(0.0224, 0.0278]",598,0.022447958767277915,0.027824550014892806,0.022878282392232097,-0.0027796453173174938,0.49158249158249157
vol_20,3,"(0.0278, 0.0365]",598,0.02782491102813779,0.036496788018721193,0.027060927708817628,-0.0005447476979152812,0.49665551839464883
vol_20,3,"(0.0365, 0.0959]",598,0.03650142562285255,0.09587825114546425,0.03742929082207863,-0.005741771150544338,0.4338358458961474
vol_20,12,"(0.007859999999999999, 0.0175]",598,0.008862198822195229,0.017466670420541786,0.01925802009968505,-0.005394972389429746,0.5100671140939598
vol_20,12,"(0.0175, 0.0224]",589,0.01747109372382886,0.022435298841148452,0.022117060434852644,-0.011332399800322695,0.41086587436332767
vol_20,12,"(0.0224, 0.0278]",595,0.022447958767277915,0.027824550014892806,0.0262995573567518,-0.0201781874561967,0.41652613827993257
vol_20,12,"(0.0278, 0.0365]",598,0.02782491102813779,0.036496788018721193,0.02933474878522683,0.005589703185556456,0.5025125628140703
vol_20,12,"(0.0365, 0.0959]",598,0.03650142562285255,0.09587825114546425,0.04171806538548443,-0.0219003718642153,0.4280936454849498
log_return,3,"(-0.00563, 0.00482]",599,-0.005625893882168498,0.00479288832605218,0.020305752960520743,-0.0027355367180468665,0.47324414715719065
log_return,3,"(-0.0199, -0.00563]",598,-0.019910159959329654,-0.005627476865728287,0.02153300547221813,-0.0024584910355313523,0.48576214405360135
log_return,3,"(-0.305, -0.0199]",600,-0.3040597722932661,-0.019962275158947884,0.028308878471205213,-0.0023434474356632995,0.4741235392320534
log_return,3,"(0.00482, 0.0183]",599,0.004827746923357745,0.0182698333824578,0.022698037951061532,-0.002440016315183008,0.4983221476510067
log_return,3,"(0.0183, 0.178]",600,0.018324099454998688,0.17776762634059695,0.029696806730018732,-0.0023042431553886187,0.46410684474123537
log_return,12,"(-0.00563, 0.00482]",596,-0.005625893882168498,0.00479288832605218,0.024484334148401173,-0.018692370148160494,0.4110738255033557
log_return,12,"(-0.0199, -0.00563]",597,-0.019910159959329654,-0.005627476865728287,0.02577622759289566,-0.009100416281354058,0.4773109243697479
log_return,12,"(-0.305, -0.0199]",598,-0.3040597722932661,-0.019962275158947884,0.031310266738930455,-0.01157441462429367,0.4639865996649916
log_return,12,"(0.00482, 0.0183]",597,0.004827746923357745,0.0182698333824578,0.025425252997324437,0.0001783657803079566,0.47571189279731996
