feature,horizon,bin,n,feature_min,feature_max,future_rv_mean,future_lr_mean,p_up
vol_20,3,"(0.00422, 0.0119]",457,0.005221835221602429,0.011916158279761845,0.012632086873448238,0.00416708802886185,0.5899122807017544
vol_20,3,"(0.0119, 0.0149]",456,0.01193580743411667,0.014884388131586277,0.012465104066880348,-0.0020260909853762814,0.44175824175824174
vol_20,3,"(0.0149, 0.0185]",457,0.014903219078281084,0.018511612598186736,0.016582470148671254,-0.006684349875541527,0.4118942731277533
vol_20,3,"(0.0185, 0.025]",453,0.018526567426242226,0.02493745794941791,0.01878825564101763,-0.0015009675766798256,0.5077262693156733
vol_20,3,"(0.025, 0.154]",457,0.024964633474988472,0.15362969503785456,0.023515513715983972,-0.0061144050548177726,0.44956140350877194
vol_20,12,"(0.00422, 0.0119]",457,0.005221835221602429,0.011916158279761845,0.015322528084398216,0.01017826599932359,0.6096491228070176
vol_20,12,"(0.0119, 0.0149]",456,0.01193580743411667,0.014884388131586277,0.014953322406551221,-0.0015421152756143314,0.45594713656387664
vol_20,12,"(0.0149, 0.0185]",457,0.014903219078281084,0.018511612598186736,0.02052759336829714,-0.0271417824375829,0.387308533916849
vol_20,12,"(0.0185, 0.025]",444,0.018526567426242226,0.02493745794941791,0.021525399613100096,-0.014326941537770789,0.44819819819819817
vol_20,12,"(0.025, 0.154]",457,0.024964633474988472,0.15362969503785456,0.024997770624360698,-0.014465501842111763,0.44175824175824174
log_return,3,"(-0.00378, 0.00315]",458,-0.003770852909143585,0.0031442072494498596,0.01454300408840179,-0.00040545917285568495,0.5318681318681319
log_return,3,"(-0.0127, -0.00378]",455,-0.012651117553558855,-0.003790808330362161,0.014060598891409242,-0.0009584876732028081,0.4879120879120879
log_return,3,"(-0.261, -0.0127]",459,-0.2598486745199211,-0.01268408684849831,0.021682017617778646,-0.004991998165752656,0.4519650655021834
log_return,3,"(0.00315, 0.0113]",458,0.003147626142993687,0.011176769562171174,0.013974879420550484,-0.001444804539287772,0.49122807017543857
log_return,3,"(0.0113, 0.441]",459,0.011281767304083257,0.44144581198098587,0.021957649322229225,-0.0027041367815884756,0.43790849673202614
