feature,horizon,bin,n,feature_min,feature_max,future_rv_mean,future_lr_mean,p_up
vol_20,3,"(0.00657, 0.018]",565,0.007572310255570404,0.01803553779999395,0.016666502268343347,0.0012548479082226513,0.50177304964539
vol_20,3,"(0.018, 0.0231]",565,0.018047398954923646,0.02314214599515437,0.020917780167687625,-0.0013441675001256595,0.48936170212765956
vol_20,3,"(0.0231, 0.0287]",564,0.023145246335221758,0.028691342720321898,0.021980846235118482,-0.0018485405106825966,0.4589285714285714
vol_20,3,"(0.0287, 0.0368]",562,0.028692639276627307,0.036846133539519724,0.025377726854772572,0.006059219930966424,0.5133689839572193
vol_20,3,"(0.0368, 0.143]",565,0.03684729514167833,0.14259134829262524,0.039359245930816994,-0.0013171502612307501,0.4584070796460177
vol_20,12,"(0.00657, 0.018]",565,0.007572310255570404,0.01803553779999395,0.019386165809623254,0.00040711200342383885,0.4690265486725664
vol_20,12,"(0.018, 0.0231]",565,0.018047398954923646,0.02314214599515437,0.025429143735625402,0.015203466420487964,0.49380530973451325
vol_20,12,"(0.0231, 0.0287]",564,0.023145246335221758,0.028691342720321898,0.024735035236975237,0.0018833138841882048,0.5088652482269503
vol_20,12,"(0.0287, 0.0368]",562,0.028692639276627307,0.036846133539519724,0.028704821130831774,0.005737067717292751,0.5
vol_20,12,"(0.0368, 0.143]",556,0.03684729514167833,0.14259134829262524,0.04342652917844732,-0.007870136507255267,0.4486486486486487
log_return,3,"(-0.00565, 0.00425]",566,-0.005641295863376916,0.004247930697496516,0.02174584172305904,0.0019478913755989072,0.5053003533568905
log_return,3,"(-0.0203, -0.00565]",566,-0.020243163424433996,-0.005663954726415628,0.021829239127689273,-0.0012027973071601114,0.4814159292035398
log_return,3,"(-0.209, -0.0203]",566,-0.20816961407948975,-0.02031189917191556,0.029340669549661406,-0.004536674692794112,0.4716312056737589
log_return,3,"(0.00425, 0.0185]",565,0.004257796252404966,0.01845872170485212,0.02176492326989532,0.000960914568806681,0.4716312056737589
log_return,3,"(0.0185, 0.3]",567,0.018495425185228953,0.30034822748626144,0.03099549372315746,0.0032506450293186247,0.4875886524822695
log_return,12,"(-0.00565, 0.00425]",564,-0.005641295863376916,0.004247930697496516,0.025034850313777272,0.0009664597593410572,0.49822695035460995
log_return,12,"(-0.0203, -0.00565]",566,-0.020243163424433996,-0.005663954726415628,0.02586148789080708,-0.006850292041852186,0.44346289752650175
log_return,12,"(-0.209, -0.0203]",563,-0.20816961407948975,-0.02031189917191556,0.03242589076179261,-0.003918780025027468,0.46714031971580816
log_return,12,"(0.00425, 0.0185]",564,0.004257796252404966,0.01845872170485212,0.026236409435943818,0.007238456980749549,0.5239786856127886
log_return,12,"(0.0185, 0.3]",564,0.018495425185228953,0.30034822748626144,0.032929835001467254,0.009721696386480013,0.4804964539007092
relative_strength_12,3,"(-0.0237, 0.0112]",564,-0.023647922717419334,0.011170393939273993,0.021693975732287856,-0.0006635018847138675,0.48576512455516013
relative_strength_12,3,"(-0.0627, -0.0237]",561,-0.06265748688092998,-0.023807916932142348,0.020877526246683986,0.002294965365804064,0.5196428571428572
relative_strength_12,3,"(-0.746, -0.0627]",565,-0.7445486542105737,-0.06274647105863984,0.026914682929855955,-0.005614370948563492,0.48936170212765956
relative_strength_12,3,"(0.0112, 0.0686]",564,0.011202107036037745,0.06858601882214366,0.022216839810740723,0.0016911010909037051,0.44206773618538325
relative_strength_12,3,"(0.0686, 0.68]",565,0.06859892283018887,0.6800920637803127,0.03226757673646569,0.005580082568246518,0.48672566371681414
relative_strength_12,12,"(-0.0237, 0.0112]",564,-0.023647922717419334,0.011170393939273993,0.024657032770005773,-0.003921550784388202,0.4326241134751773
relative_strength_12,12,"(-0.0627, -0.0237]",561,-0.06265748688092998,-0.023807916932142348,0.02316109256904741,0.0014214654948946893,0.46524064171123
relative_strength_12,12,"(-0.746, -0.0627]",556,-0.7445486542105737,-0.06274647105863984,0.03079762773617561,-0.009058720343618256,0.4846846846846847
relative_strength_12,12,"(0.0112, 0.0686]",564,0.011202107036037745,0.06858601882214366,0.02735346719702677,0.008437937024828092,0.48936170212765956
relative_strength_12,12,"(0.0686, 0.68]",565,0.06859892283018887,0.6800920637803127,0.035321998143033106,0.020104491783070378,0.5504424778761062
relative_strength_42,3,"(-0.0545, 0.0207]",558,-0.05442476437053401,0.02061447598280175,0.0201866148064725,0.0003696187413568394,0.460431654676259
relative_strength_42,3,"(-0.125, -0.0545]",558,-0.12528461502541433,-0.054544332048006794,0.020437054300279797,-0.000953288468055806,0.5017985611510791
relative_strength_42,3,"(-1.323, -0.125]",559,-1.3222633276807816,-0.12542224503318167,0.02478929427179433,-0.00017382190173263138,0.492831541218638
relative_strength_42,3,"(0.0207, 0.142]",555,0.020699956657180607,0.14163083989541114,0.02374823757024961,0.001604711203664347,0.5063291139240507
relative_strength_42,3,"(0.142, 0.954]",559,0.14201347198837588,0.9538463989007262,0.03173380793368027,0.005519194598360953,0.4740608228980322
relative_strength_42,12,"(-0.0545, 0.0207]",558,-0.05442476437053401,0.02061447598280175,0.0238509936601778,0.01102541368162185,0.4731182795698925
relative_strength_42,12,"(-0.125, -0.0545]",558,-0.12528461502541433,-0.054544332048006794,0.023195002962906035,-0.002954453824090884,0.46236559139784944
relative_strength_42,12,"(-1.323, -0.125]",559,-1.3222633276807816,-0.12542224503318167,0.02795177413349713,-0.005691006956204851,0.4400715563506261
relative_strength_42,12,"(0.0207, 0.142]",551,0.020699956657180607,0.14163083989541114,0.02699295948295826,0.009077628522729992,0.5335753176043557
relative_strength_42,12,"(0.142, 0.954]",554,0.14201347198837588,0.9538463989007262,0.03537202889426888,0.009971651773115368,0.5135623869801085
funding_z,3,"(-0.00999, 0.224]",561,-0.009803284361038295,0.22388866749301928,0.0231297657970109,-0.001127608639913047,0.4785714285714286
funding_z,3,"(-14.006, -0.00999]",562,-14.004948975752495,-0.010737729344040743,0.028699678933658653,0.0030561721709548417,0.5053571428571428
funding_z,3,"(0.224, 0.331]",563,0.22447393682120684,0.3309191065897343,0.023487135784236828,0.0030436203879543105,0.5026737967914439
funding_z,3,"(0.331, 0.413]",563,0.33093379123473704,0.4126811533921271,0.02338692947961112,-0.0010835290851006986,0.45373665480427045
funding_z,3,"(0.413, 13.121]",563,0.41271346652438945,13.121457640510584,0.02488023411881786,0.000821102604282487,0.4875444839857651
funding_z,12,"(-0.00999, 0.224]",555,-0.009803284361038295,0.22388866749301928,0.02705580116928027,-7.296430213567272e-05,0.4675090252707581
funding_z,12,"(-14.006, -0.00999]",559,-14.004948975752495,-0.010737729344040743,0.03275509801594257,0.0027303840966567674,0.4883720930232558
funding_z,12,"(0.224, 0.331]",563,0.22447393682120684,0.3309191065897343,0.025980918010789705,0.009644425469458866,0.49023090586145646
funding_z,12,"(0.331, 0.413]",563,0.33093379123473704,0.4126811533921271,0.02590568045557181,-0.001150014614320375,0.458259325044405
funding_z,12,"(0.413, 13.121]",563,0.41271346652438945,13.121457640510584,0.029204487270822945,0.010999285805027624,0.5239786856127886
funding_rate,3,"(-0.0179, -9.26e-05]",567,-0.01686354,-9.273e-05,0.031198068191850035,0.0038010988601107536,0.5053003533568905
funding_rate,3,"(-9.26e-05, 5e-05]",2245,-9.245e-05,5e-05,0.023387584723041466,-0.0006108610279853546,0.4787851719517642
funding_rate,3,"(5e-05, 0.000755]",18,6.761e-05,0.00075492,0.05263938595255449,-0.030213456457852814,0.3888888888888889
funding_rate,12,"(-0.0179, -9.26e-05]",564,-0.01686354,-9.273e-05,0.034463825485925435,0.01008452443932237,0.4955595026642984
funding_rate,12,"(-9.26e-05, 5e-05]",2239,-9.245e-05,5e-05,0.026807346092162267,-0.0005024833108109726,0.47833854399285397
funding_rate,12,"(5e-05, 0.000755]",18,6.761e-05,0.00075492,0.051308367241278026,-0.029752238736945467,0.6111111111111112
funding_abs,3,"(-0.00099993, 5e-05]",2181,7e-08,5e-05,0.023312809135452223,-0.0010464216412706222,0.4767816091954023
funding_abs,3,"(5e-05, 9.91e-05]",82,5.046e-05,9.899e-05,0.025633968383178888,0.017590387368931443,0.5853658536585366
funding_abs,3,"(9.91e-05, 0.0169]",567,9.91e-05,0.01686354,0.03208945182241812,0.0019044650175893735,0.49469964664310956
funding_abs,12,"(-0.00099993, 5e-05]",2175,7e-08,5e-05,0.026696995063088882,-0.00026365163425428337,0.47954022988505746
funding_abs,12,"(5e-05, 9.91e-05]",82,5.046e-05,9.899e-05,0.03117372240877802,0.013694823375046726,0.5
funding_abs,12,"(9.91e-05, 0.0169]",564,9.91e-05,0.01686354,0.03503650103726624,0.006165847768362167,0.4920071047957371
funding_abs_pct,3,"(0.004, 0.38]",562,0.005,0.38,0.025954545844595594,0.0013743900446890945,0.4883720930232558
funding_abs_pct,3,"(0.38, 0.432]",592,0.3801369863013699,0.4325,0.022198852558196615,-0.0025298083464669417,0.4491525423728814
funding_abs_pct,3,"(0.432, 0.482]",553,0.435,0.4825,0.022769834665106552,-0.003012265296501244,0.48007246376811596
funding_abs_pct,3,"(0.482, 0.69]",544,0.4827586206896552,0.69,0.022634404652359552,0.004621163048622046,0.5110294117647058
funding_abs_pct,3,"(0.69, 1.0]",561,0.695,1.0,0.030070728245057902,0.00450606386686449,0.5017857142857143
funding_abs_pct,12,"(0.004, 0.38]",562,0.005,0.38,0.029786455696273903,0.008482742936199866,0.5409252669039146
funding_abs_pct,12,"(0.38, 0.432]",592,0.3801369863013699,0.4325,0.025389528862807195,-0.0051249692547857585,0.4155405405405405
funding_abs_pct,12,"(0.432, 0.482]",553,0.435,0.4825,0.025761653809288725,-0.013632082166440348,0.45750452079566006
funding_abs_pct,12,"(0.482, 0.69]",538,0.4827586206896552,0.69,0.026204354885623185,0.015246078254395454,0.5018587360594795
funding_abs_pct,12,"(0.69, 1.0]",558,0.695,1.0,0.03380936207313184,0.018035075892266952,0.5170556552962298
