asset_id,horizon,rows,train_size,test_size,direction_baseline_accuracy,test_direction_baseline_accuracy,future_rv_median,top_rv_feature,top_rv_corr_test,top_lr_feature,top_lr_corr_test,top_direction_feature,top_direction_corr_test
DRIFTUSDT_4h,3,2999,2099,900,0.5403414797455641,0.5703125,0.01679041880841993,vol_20,0.410854922420493,rolling_beta_ref_42,-0.10365549333585783,rolling_beta_ref_12,0.06856103757647944
DRIFTUSDT_4h,12,2999,2099,900,0.5574539363484087,0.5704622322435174,0.02129418918305732,vol_20,0.38965105931547617,rolling_beta_ref_42,-0.20611395105342764,rolling_beta_ref_42,-0.13027614151092226
GRASSUSDT_4h,3,2999,2099,900,0.5405947210157033,0.5379464285714286,0.019866329441163965,vol_20,0.29321131354907354,reference_close,-0.09714918207120132,relative_strength_12,-0.06637933008873308
GRASSUSDT_4h,12,2999,2099,900,0.5541038525963149,0.5529279279279279,0.02493771514569664,vol_20,0.4016299713466461,rolling_corr_ref_42,0.21118480022224087,rolling_corr_ref_42,0.19544779430960743
SIGNUSDT_4h,3,2292,1604,688,0.5199299167761717,0.5183553597650514,0.012910225834154583,vol_20,0.24313620063577138,relative_strength_12,0.1616912719973378,relative_strength_12,0.10272148893243069
SIGNUSDT_4h,12,2292,1604,688,0.5314285714285715,0.5812220566318927,0.015904627930476957,rolling_corr_ref_12,-0.3672987058676202,relative_strength_12,0.2283820455587335,relative_strength_12,0.17174510650538102
NILUSDT_4h,3,2525,1767,758,0.5320589406610912,0.5205843293492696,0.018235362177199586,relative_strength_12,0.38168226555343654,price_ratio,-0.16301614980572282,price_ratio,-0.13474080061784519
NILUSDT_4h,12,2525,1767,758,0.5525896414342629,0.5388739946380697,0.02220363866672526,price_ratio_z_42,0.28679446090916166,price_ratio,-0.29829212375314174,price_ratio,-0.18308900981526302
VVVUSDT_4h,3,2833,1983,850,0.5164718384697131,0.5124260355029586,0.019518794049298665,vol_20,0.4241125191007784,relative_strength_12,0.08515944842192819,price_ratio_z_12,-0.0726360981504527
VVVUSDT_4h,12,2833,1983,850,0.5173758865248227,0.5818399044205496,0.024621704648778678,vol_20,0.5344214199223508,relative_strength_12,0.2044857423400845,relative_strength_12,0.11796204945525583
STGUSDT_4h,3,2999,2099,900,0.5164429530201342,0.5223214285714286,0.012291628211313042,funding_rate,-0.3792312858355905,rolling_corr_ref_42,0.13241861288551543,rolling_corr_ref_42,0.11282835741239602
STGUSDT_4h,12,2999,2099,900,0.5065502183406113,0.5501691093573844,0.0150252882378289,funding_rate,-0.30431788753918043,rolling_corr_ref_42,0.2969074490541259,rolling_corr_ref_42,0.17501532774840944
GNOUSDT_4h,3,2999,2099,900,0.5060281312793035,0.5151175811870101,0.009030630194908023,funding_z,-0.1262380641871872,relative_log_return,-0.15454521757471015,price_ratio,-0.11838429962163238
GNOUSDT_4h,12,2999,2099,900,0.5028475711892797,0.5540540540540541,0.011818517788957648,reference_close,-0.11445365451937495,price_ratio,-0.1311741751328488,price_ratio,-0.192811824005285
ENSUSDT_4h,3,2999,2099,900,0.517379679144385,0.5279642058165548,0.012369688679450448,vol_20,0.16738342325311004,rolling_beta_ref_42,-0.0910582488533171,vol_20,-0.09779884813075299
ENSUSDT_4h,12,2999,2099,900,0.5200937709310114,0.5219842164599775,0.01590872855108651,vol_20,0.3448477450428117,rolling_beta_ref_42,-0.18579806792067188,vol_20,-0.1815364723734629
POPCATUSDT_4h,3,2999,2099,900,0.5209100033456006,0.5401785714285714,0.019326310276446414,rolling_corr_ref_12,-0.14105599146876985,price_ratio,-0.09723690168305231,price_ratio,-0.09978375637239656
POPCATUSDT_4h,12,2999,2099,900,0.5446009389671361,0.5546786922209695,0.024707925813977277,relative_strength_12,0.16027816262842615,price_ratio,-0.1778389013885738,price_ratio,-0.23278156919362755
MORPHOUSDT_4h,3,2999,2099,900,0.5090180360721442,0.5016722408026756,0.015540732606760112,reference_close,-0.2223785360000647,rolling_corr_ref_12,0.09605161825714859,funding_abs,0.10868593775132893
MORPHOUSDT_4h,12,2999,2099,900,0.5192500836960161,0.5045045045045045,0.01975344998360364,relative_strength_12,0.3561082702905556,reference_close,-0.17895427013769774,rolling_corr_ref_12,0.09264101938157404
