,equity,position,net_log_return
27085,1.0,0.0,0.0
27086,1.0,0.0,-0.0
27087,1.0,0.0,-0.0
27088,1.0,0.0,-0.0
27089,1.0,0.0,0.0
27090,1.0,0.0,-0.0
27091,1.0,0.0,0.0
27092,1.0,0.0,0.0
27093,1.0,0.0,0.0
27094,1.0,0.0,-0.0
27095,1.0,0.0,0.0
27096,1.0,0.0,-0.0
27097,1.0,0.0,0.0
27098,1.0,0.0,-0.0
27099,1.0,0.0,-0.0
27100,1.0,0.0,-0.0
27101,1.0,0.0,-0.0
27102,1.0,0.0,0.0
27103,1.0,0.0,-0.0
27104,1.0,0.0,-0.0
27105,1.0,0.0,0.0
27106,1.0,0.0,-0.0
27107,1.0,0.0,0.0
27108,1.0,0.0,-0.0
27109,1.0,0.0,0.0
27110,1.0,0.0,0.0
27111,1.0,0.0,0.0
27112,1.0,0.0,0.0
27113,1.0,0.0,0.0
27114,1.0,0.0,-0.0
27115,1.0,0.0,0.0
27116,1.0,0.0,0.0
27117,1.0,0.0,0.0
27118,1.0,0.0,0.0
27119,1.0,0.0,0.0
27120,1.0,0.0,-0.0
27121,1.0,0.0,-0.0
27122,1.0,0.0,0.0
27123,1.0,0.0,-0.0
27124,1.0,0.0,0.0
27125,1.0,0.0,0.0
27126,1.0,0.0,-0.0
27127,1.0,0.0,-0.0
27128,1.0,0.0,0.0
27129,1.0,0.0,0.0
27130,1.0,0.0,-0.0
27131,1.0,0.0,0.0
27132,1.0,0.0,0.0
27133,1.0,0.0,-0.0
27134,1.0,0.0,-0.0
27135,1.0,0.0,-0.0
27136,1.0,0.0,-0.0
27137,1.0,0.0,0.0
27138,1.0,0.0,0.0
27139,1.0,0.0,-0.0
27140,1.0,0.0,-0.0
27141,1.0,0.0,0.0
27142,1.0,0.0,-0.0
27143,1.0,0.0,0.0
27144,1.0,0.0,0.0
27145,1.0,0.0,0.0
27146,1.0,0.0,-0.0
27147,1.0,0.0,0.0
27148,1.0,0.0,0.0
27149,1.0,0.0,0.0
27150,1.0,0.0,-0.0
27151,1.0,0.0,0.0
27152,1.0,0.0,0.0
27153,1.0,0.0,-0.0
27154,1.0,0.0,-0.0
27155,1.0,0.0,-0.0
27156,1.0,0.0,-0.0
27157,1.0,0.0,-0.0
27158,1.0,0.0,0.0
27159,1.0,0.0,0.0
27160,1.0,0.0,-0.0
27161,1.0,0.0,-0.0
27162,1.0,0.0,0.0
27163,1.0,0.0,0.0
27164,1.0,0.0,-0.0
27165,1.0,0.0,0.0
27166,1.0,0.0,0.0
27167,1.0,0.0,0.0
27168,1.0,0.0,-0.0
27169,1.0,0.0,0.0
27170,1.0,0.0,0.0
27171,1.0,0.0,0.0
27172,1.0,0.0,0.0
27173,1.0,0.0,-0.0
27174,1.0,0.0,0.0
27175,1.0,0.0,0.0
27176,1.0,0.0,-0.0
27177,1.0,0.0,0.0
27178,1.0,0.0,0.0
27179,1.0,0.0,-0.0
27180,1.0,0.0,-0.0
27181,1.0,0.0,-0.0
27182,1.0,0.0,-0.0
27183,1.0,0.0,0.0
27184,1.0,0.0,-0.0
27185,1.0003570886512776,1.0,0.0003570249102989038
27186,1.0049661271151473,1.0,0.004596811669697942
27187,1.0043926098222624,1.0,-0.0005708461091753492
27188,1.0074368360171801,1.0,0.0030263286230685083
27189,1.0045310450308897,1.0,-0.0028885083445207016
27190,1.0043114813964265,1.0,-0.0002185971597565839
27191,1.010936594952177,1.0,0.006575009301208468
27192,1.013048855546157,1.0,0.002087229787450795
27193,1.0210113520995423,1.0,0.007829205051203658
27194,1.0127796260332744,1.0,-0.008095001999874896
27195,1.0122519541666217,1.0,-0.0005211492835517362
27196,1.0180934255592478,1.0,0.005754181105178446
27197,1.0176817156530704,1.0,-0.00040447483953975905
27198,1.022447617389055,1.0,0.004672164973479553
27199,1.0185109785099469,1.0,-0.00385764196187921
27200,1.0174212507069675,1.0,-0.001070495266400684
27201,1.0177830700022448,1.0,0.00035556066327835367
27202,1.017793182963913,1.0,9.936215018768735e-06
27203,1.0223530050143272,1.0,0.004470100887935757
27204,1.0401794596473952,1.0,0.017286417397118115
27205,1.0351344401693399,1.0,-0.0048619434549657115
27206,1.032886890621475,1.0,-0.0021736240330856305
27207,1.0397731433207735,1.0,0.006644869804642184
27208,1.038172149122293,1.0,-0.0015409400055901301
27209,1.0383090112035507,1.0,0.0001318211636789357
27210,1.0481520691624493,1.0,0.009435240439984227
27211,1.0455004506127774,1.0,-0.0025330086462656
27212,1.0512877614773535,1.0,0.00552018132046328
27213,1.0602882973629657,1.0,0.008524997579696603
27214,1.063523770899674,1.0,0.0030468571942474654
27215,1.0667142979400746,1.0,0.002995467476372582
27216,1.057636229348332,1.0,-0.008546728739171172
27217,1.0598381582024436,1.0,0.0020797698057180014
27218,1.0624425829309925,1.0,0.0024543652359199086
27219,1.0709006146061701,1.0,0.00792940957820143
27220,1.0697715586189214,1.0,-0.0010548612777476762
27221,1.0676923336997295,1.0,-0.0019455070866793989
27222,1.0677330102788865,1.0,3.809693396839009e-05
27223,1.0676422183563463,1.0,-8.503603617526778e-05
27224,1.0623690954095302,1.0,-0.0049512729677339
27225,1.0592264363876969,1.0,-0.0029625451913339873
27226,1.0582203090678497,1.0,-0.0009503213223442941
27227,1.0630298089052512,1.0,0.004534597818482311
27228,1.0632406079729346,1.0,0.00019828058247028935
27229,1.064706537950009,1.0,0.0013777881765353328
