,equity,position,net_log_return
27085,1.0,0.0,0.0
27086,1.0,0.0,-0.0
27087,1.0,0.0,-0.0
27088,1.0,0.0,-0.0
27089,1.0,0.0,0.0
27090,1.0,0.0,-0.0
27091,1.0,0.0,0.0
27092,1.0,0.0,0.0
27093,1.0,0.0,0.0
27094,1.0,0.0,-0.0
27095,1.0,0.0,0.0
27096,1.0,0.0,-0.0
27097,1.0,0.0,0.0
27098,1.0,0.0,-0.0
27099,1.0,0.0,-0.0
27100,1.0,0.0,-0.0
27101,1.0,0.0,-0.0
27102,1.0,0.0,0.0
27103,1.0,0.0,-0.0
27104,1.0,0.0,-0.0
27105,1.0,0.0,0.0
27106,1.0,0.0,-0.0
27107,1.0,0.0,0.0
27108,1.0,0.0,-0.0
27109,1.0,0.0,0.0
27110,1.0,0.0,0.0
27111,1.0,0.0,0.0
27112,1.0,0.0,0.0
27113,1.0,0.0,0.0
27114,1.0,0.0,-0.0
27115,1.0,0.0,0.0
27116,1.0,0.0,0.0
27117,1.0,0.0,0.0
27118,1.0,0.0,0.0
27119,1.0,0.0,0.0
27120,1.0,0.0,-0.0
27121,1.0,0.0,-0.0
27122,1.0,0.0,0.0
27123,1.0,0.0,-0.0
27124,1.0,0.0,0.0
27125,1.0,0.0,0.0
27126,1.0,0.0,-0.0
27127,1.0,0.0,-0.0
27128,1.0,0.0,0.0
27129,1.0,0.0,0.0
27130,1.0,0.0,-0.0
27131,1.0,0.0,0.0
27132,1.0,0.0,0.0
27133,1.0,0.0,-0.0
27134,1.0,0.0,-0.0
27135,1.0,0.0,-0.0
27136,1.0,0.0,-0.0
27137,1.0,0.0,0.0
27138,1.0,0.0,0.0
27139,1.0,0.0,-0.0
27140,1.0,0.0,-0.0
27141,1.0,0.0,0.0
27142,1.0,0.0,-0.0
27143,1.0,0.0,0.0
27144,1.0,0.0,0.0
27145,1.0,0.0,0.0
27146,1.0,0.0,-0.0
27147,1.0,0.0,0.0
27148,1.0,0.0,0.0
27149,1.0,0.0,0.0
27150,1.0,0.0,-0.0
27151,1.0,0.0,0.0
27152,1.0,0.0,0.0
27153,1.0,0.0,-0.0
27154,1.0,0.0,-0.0
27155,1.0,0.0,-0.0
27156,1.0,0.0,-0.0
27157,1.0,0.0,-0.0
27158,1.0,0.0,0.0
27159,1.0,0.0,0.0
27160,1.0,0.0,-0.0
27161,1.0,0.0,-0.0
27162,1.0,0.0,0.0
27163,1.0,0.0,0.0
27164,1.0,0.0,-0.0
27165,1.0,0.0,0.0
27166,1.0,0.0,0.0
27167,1.0,0.0,0.0
27168,1.0,0.0,-0.0
27169,1.0,0.0,0.0
27170,1.0,0.0,0.0
27171,1.0,0.0,0.0
27172,1.0,0.0,0.0
27173,1.0,0.0,-0.0
27174,1.0,0.0,0.0
27175,1.0,0.0,0.0
27176,1.0,0.0,-0.0
27177,1.0,0.0,0.0
27178,1.0,0.0,0.0
27179,1.0,0.0,-0.0
27180,1.0,0.0,-0.0
27181,1.0,0.0,-0.0
27182,1.0,0.0,-0.0
27183,1.0,0.0,0.0
27184,1.0,0.0,-0.0
27185,1.0002980652842102,0.8347341123308081,0.0002980208715783418
27186,1.0041436978535627,0.8347341123308081,0.0038371155086572117
27187,1.0035152498455,0.0,-0.0006260505842481061
27188,1.0035152498455,0.0,0.0
27189,1.0035152498455,0.0,-0.0
27190,1.0035152498455,0.0,-0.0
27191,1.0086254329031654,0.871991842262705,0.005079360591758163
27192,1.0079660136926905,0.0,-0.0006539938816970287
27193,1.0079660136926905,0.0,0.0
27194,1.0079660136926905,0.0,-0.0
27195,1.0067684248364621,0.9352407595259004,-0.0011888306214197298
27196,1.006062494296303,0.0,-0.0007014305696444252
27197,1.006062494296303,0.0,-0.0
27198,1.006062494296303,0.0,0.0
27199,1.006062494296303,0.0,-0.0
27200,1.006062494296303,0.0,-0.0
27201,1.0056957367361277,0.9243853812828192,-0.00036461395666838135
27202,1.0049987405461607,0.0,-0.0006932890359621144
27203,1.0049987405461607,0.0,0.0
27204,1.0049987405461607,0.0,0.0
27205,1.0049987405461607,0.0,-0.0
27206,1.0049987405461607,0.0,-0.0
27207,1.0049987405461607,0.0,0.0
27208,1.0049987405461607,0.0,-0.0
27209,1.0049987405461607,0.0,0.0
27210,1.0131014690383806,0.9245683930569044,0.008030098796909057
27211,1.0123992013540353,0.0,-0.0006934262947926784
27212,1.0123992013540353,0.0,0.0
27213,1.0123992013540353,0.0,0.0
27214,1.0123992013540353,0.0,0.0
27215,1.0123992013540353,0.0,0.0
27216,1.0123992013540353,0.0,-0.0
27217,1.0123992013540353,0.0,0.0
27218,1.0123992013540353,0.0,0.0
27219,1.0123992013540353,0.0,0.0
27220,1.0123992013540353,0.0,-0.0
27221,1.0123992013540353,0.0,-0.0
27222,1.0123992013540353,0.0,0.0
27223,1.0123992013540353,0.0,-0.0
27224,1.0071774995546103,0.9070074272071916,-0.005171096926270234
27225,1.0044747955361861,0.9070074272071916,-0.002687050491976877
27226,1.0036532330776844,0.6888013953084681,-0.0008182371767461809
27227,1.0031348786699148,0.0,-0.0005166010464813511
27228,1.0031348786699148,0.0,0.0
27229,1.0031348786699148,0.0,0.0
27230,1.0031348786699148,0.0,0.0
27231,1.0031348786699148,0.0,-0.0
27232,1.0028818792295189,0.9673408866408177,-0.00025224060640681846
27233,0.9988193529676863,0.9673408866408177,-0.0040590791216750105
