,equity,position,net_log_return
27085,1.0,0.0,0.0
27086,1.0,0.0,-0.0
27087,1.0,0.0,-0.0
27088,1.0,0.0,-0.0
27089,1.0,0.0,0.0
27090,1.0,0.0,-0.0
27091,1.0,0.0,0.0
27092,1.0,0.0,0.0
27093,1.0,0.0,0.0
27094,1.0,0.0,-0.0
27095,1.0,0.0,0.0
27096,1.0,0.0,-0.0
27097,1.0,0.0,0.0
27098,1.0,0.0,-0.0
27099,1.0,0.0,-0.0
27100,1.0,0.0,-0.0
27101,1.0,0.0,-0.0
27102,1.0,0.0,0.0
27103,1.0,0.0,-0.0
27104,1.0,0.0,-0.0
27105,1.0,0.0,0.0
27106,1.0,0.0,-0.0
27107,1.0,0.0,0.0
27108,1.0,0.0,-0.0
27109,1.0,0.0,0.0
27110,1.0,0.0,0.0
27111,1.0,0.0,0.0
27112,1.0,0.0,0.0
27113,1.0,0.0,0.0
27114,1.0,0.0,-0.0
27115,1.0,0.0,0.0
27116,1.0,0.0,0.0
27117,1.0,0.0,0.0
27118,1.0,0.0,0.0
27119,1.0,0.0,0.0
27120,1.0,0.0,-0.0
27121,1.0,0.0,-0.0
27122,1.0,0.0,0.0
27123,1.0,0.0,-0.0
27124,1.0,0.0,0.0
27125,1.0,0.0,0.0
27126,1.0,0.0,-0.0
27127,1.0,0.0,-0.0
27128,1.0,0.0,0.0
27129,1.0,0.0,0.0
27130,1.0,0.0,-0.0
27131,1.0,0.0,0.0
27132,1.0,0.0,0.0
27133,1.0,0.0,-0.0
27134,1.0,0.0,-0.0
27135,1.0,0.0,-0.0
27136,1.0,0.0,-0.0
27137,1.0,0.0,0.0
27138,1.0,0.0,0.0
27139,1.0,0.0,-0.0
27140,1.0,0.0,-0.0
27141,1.0,0.0,0.0
27142,1.0,0.0,-0.0
27143,1.0,0.0,0.0
27144,1.0,0.0,0.0
27145,1.0,0.0,0.0
27146,1.0,0.0,-0.0
27147,1.0,0.0,0.0
27148,1.0,0.0,0.0
27149,1.0,0.0,0.0
27150,1.0,0.0,-0.0
27151,1.0,0.0,0.0
27152,1.0,0.0,0.0
27153,1.0,0.0,-0.0
27154,1.0,0.0,-0.0
27155,1.0,0.0,-0.0
27156,1.0,0.0,-0.0
27157,1.0,0.0,-0.0
27158,1.0,0.0,0.0
27159,1.0,0.0,0.0
27160,1.0,0.0,-0.0
27161,1.0,0.0,-0.0
27162,1.0,0.0,0.0
27163,1.0,0.0,0.0
27164,1.0,0.0,-0.0
27165,1.0,0.0,0.0
27166,1.0,0.0,0.0
27167,1.0,0.0,0.0
27168,1.0,0.0,-0.0
27169,1.0,0.0,0.0
27170,1.0,0.0,0.0
27171,1.0,0.0,0.0
27172,1.0,0.0,0.0
27173,1.0,0.0,-0.0
27174,1.0,0.0,0.0
27175,1.0,0.0,0.0
27176,1.0,0.0,-0.0
27177,1.0,0.0,0.0
27178,1.0,0.0,0.0
27179,1.0,0.0,-0.0
27180,1.0,0.0,-0.0
27181,1.0,0.0,-0.0
27182,1.0,0.0,-0.0
27183,1.0,0.0,0.0
27184,1.0,0.0,-0.0
27185,1.0,0.0,0.0
27186,1.0,0.0,0.0
27187,1.0,0.0,-0.0
27188,1.0,0.0,0.0
27189,1.0,0.0,-0.0
27190,1.0,0.0,-0.0
27191,1.0,0.0,0.0
27192,1.0,0.0,0.0
27193,1.0,0.0,0.0
27194,1.0,0.0,-0.0
27195,1.0,0.0,-0.0
27196,1.0,0.0,0.0
27197,1.0,0.0,-0.0
27198,1.0,0.0,0.0
27199,1.0,0.0,-0.0
27200,1.0,0.0,-0.0
27201,1.0,0.0,0.0
27202,1.0,0.0,0.0
27203,1.0,0.0,0.0
27204,1.0,0.0,0.0
27205,1.0,0.0,-0.0
27206,1.0,0.0,-0.0
27207,1.0,0.0,0.0
27208,1.0,0.0,-0.0
27209,1.0,0.0,0.0
27210,1.0,0.0,0.0
27211,1.0,0.0,-0.0
27212,1.0,0.0,0.0
27213,1.0,0.0,0.0
27214,1.0,0.0,0.0
27215,1.0,0.0,0.0
27216,1.0,0.0,-0.0
27217,1.0,0.0,0.0
27218,1.0,0.0,0.0
27219,1.0,0.0,0.0
27220,1.0,0.0,-0.0
27221,1.0,0.0,-0.0
27222,1.0,0.0,0.0
27223,1.0,0.0,-0.0
27224,1.0,0.0,-0.0
27225,1.0,0.0,-0.0
27226,1.0,0.0,-0.0
27227,1.0,0.0,0.0
27228,1.0,0.0,0.0
27229,1.0,0.0,0.0
27230,1.0,0.0,0.0
27231,1.0,0.0,-0.0
27232,1.0,0.0,0.0
27233,1.0,0.0,-0.0
27234,1.0,0.0,-0.0
27235,1.0,0.0,-0.0
27236,1.0,0.0,-0.0
27237,1.0,0.0,0.0
27238,1.0,0.0,0.0
27239,1.0,0.0,0.0
27240,1.0,0.0,-0.0
27241,1.0,0.0,0.0
27242,1.0,0.0,-0.0
27243,1.0,0.0,-0.0
27244,1.0,0.0,0.0
27245,1.0,0.0,0.0
27246,1.0,0.0,0.0
27247,1.0,0.0,0.0
27248,1.0,0.0,-0.0
27249,1.0,0.0,-0.0
27250,1.0,0.0,-0.0
27251,1.0,0.0,-0.0
27252,1.0,0.0,0.0
27253,1.0,0.0,0.0
27254,1.0,0.0,-0.0
27255,1.0,0.0,-0.0
27256,1.0,0.0,-0.0
27257,1.0,0.0,-0.0
27258,1.0,0.0,-0.0
27259,1.0,0.0,-0.0
