manifold,manifold_dim,ambient_dim,reconstruction_error,smoothness,latent_utilization,complexity_penalty,score,n_points,k,mask_ratio,latent_shape,flat_baseline_error,relative_to_flat,projection_method,n_masks,reconstruction_error_mean,reconstruction_error_std,score_mean,score_std,relative_to_flat_mean,relative_to_flat_std,reconstruction_error_ci95,rank
plane4d,4,4,0.014872736667986566,0.1754516441826263,0.07300730073007301,5e-08,0.014872786667986566,9999,8,0.25,"[9999, 4]",0.014872736667986566,1.0,isomap,5,0.015344748309785813,0.0009602977619224914,0.015344798309785815,0.000960297761922492,1.0,0.0,0.0008417381011254431,1
plane3d,3,3,0.05593285233100261,0.4399758240754661,0.2152777777777778,3.75e-08,0.05593288983100261,9999,8,0.25,"[9999, 3]",0.05593285233100261,1.0,isomap,5,0.05837417861695793,0.002722342298612431,0.05837421611695794,0.0027223422986124295,1.0,0.0,0.0023862382355864077,2
klein_bottle,2,3,0.1076326747600335,0.9358686354404179,0.40162037037037035,2.75e-08,0.1076327022600335,9999,8,0.25,"[9999, 3]",0.05123257922196374,2.1008638720630852,isomap,5,0.11503596953857927,0.006147501380185929,0.11503599703857928,0.006147501380185929,2.0343199210073246,0.07991044050048524,0.00538852254332485,3
torus2,2,3,0.1620516229005806,1.206566187212613,0.3871527777777778,2.75e-08,0.1620516504005806,9999,8,0.25,"[9999, 3]",0.056332290789953256,2.8767092661795703,isomap,5,0.168968624063984,0.009227593204232352,0.16896865156398402,0.009227593204232352,2.8853027943598386,0.09390904209967914,0.008088342063964426,4
sphere3,3,4,0.1738359757823151,1.3519011092743076,0.28152815281528154,4e-08,0.1738360157823151,9999,8,0.25,"[9999, 4]",0.013619685963898499,12.763581792054499,isomap,5,0.17576206292160154,0.006358805943777652,0.1757621029216016,0.006358805943777652,12.298511831168991,0.6011917785058702,0.0055737391596384816,5
s2_r,3,4,0.17946836879412933,1.382654989983115,0.1409140914091409,4e-08,0.17946840879412934,9999,8,0.25,"[9999, 4]",0.014052398321981812,12.771369319455705,isomap,5,0.17691894808120714,0.004175774945646367,0.17691898808120715,0.004175774945646367,12.320910526354096,1.210621721234189,0.00366022812178466,6
cone,2,3,0.18770199841400256,1.298284719517837,0.10648148148148148,2.75e-08,0.18770202591400256,9999,8,0.25,"[9999, 3]",0.05766922151781637,3.254803749275751,isomap,5,0.18632348252020478,0.0017479927129995184,0.18632351002020478,0.0017479927129995184,3.306130089991915,0.05175154551714986,0.0015321831679329517,7
plane2d,2,2,0.18965789717705758,1.3089457313074053,0.6875,2.5e-08,0.18965792217705757,9999,8,0.25,"[9999, 2]",0.18965789717705758,1.0,isomap,5,0.1880071517313629,0.005033947626776268,0.18800717673136288,0.005033947626776268,1.0,0.0,0.0044124496427490265,8
s1_r2,3,4,0.20534743820945883,1.5487326298675965,0.0814081408140814,4e-08,0.20534747820945884,9999,8,0.25,"[9999, 4]",0.017440699428928473,11.774036875427939,isomap,5,0.20199556208069325,0.0058661472425504445,0.20199560208069328,0.0058661472425504445,13.630052583394814,1.241597286516603,0.00514190476814337,9
h2_r,3,3,0.2430226725118955,1.83288577048054,0.44386574074074076,3.75e-08,0.2430227100118955,9999,8,0.25,"[9999, 3]",0.0562730108697378,4.318636389910797,isomap,5,0.2525130964908999,0.01152034672652956,0.2525131339908999,0.01152034672652956,4.376692321172726,0.20647595542868039,0.010098029134715811,10
s2_s1,3,5,0.2744999612455732,1.7535369293074556,0.10961096109610961,4.2500000000000003e-08,0.2745000037455732,9999,8,0.25,"[9999, 5]",0.014633563814623751,18.758244042456514,isomap,5,0.2596491875355127,0.013881054736569136,0.2596492300355127,0.013881054736569146,17.6990041790041,1.0735114964187285,0.012167280940222696,11
sphere2,2,3,0.29980798837175854,2.032401407096401,0.3449074074074074,2.75e-08,0.29980801587175854,9999,8,0.25,"[9999, 3]",0.0562272610627059,5.332075272836177,isomap,5,0.29252517099339653,0.02067676752036033,0.29252519849339653,0.02067676752036033,5.067449399736638,0.307502433660366,0.0181239858303503,12
t2_r,3,5,0.30917956061154606,2.2295200733867535,0.16781678167816783,4.2500000000000003e-08,0.3091796031115461,9999,8,0.25,"[9999, 5]",0.013126229075424885,23.55433223319228,isomap,5,0.32027678807989507,0.012189428563146618,0.3202768305798951,0.012189428563146618,22.171908261174796,0.9421114945166585,0.010684505222636783,13
cylinder,2,3,0.34544397307185865,2.3313346070900183,0.18460648148148148,2.75e-08,0.34544400057185864,9999,8,0.25,"[9999, 3]",0.05736369573985033,6.021996466867808,isomap,5,0.33431641016832137,0.018123516910391914,0.3343164376683214,0.018123516910391914,5.939178102356748,0.3102832746145963,0.01588596299477729,14
mobius,2,3,0.4134850770739252,2.4881583428307317,0.20717592592592593,2.75e-08,0.4134851045739252,9999,8,0.25,"[9999, 3]",0.05957468774577367,6.940616773996578,isomap,5,0.408548890081081,0.018302268809982786,0.40854891758108103,0.018302268809982786,6.976527221644899,0.36238472058732374,0.01604264594302551,15
hyperbolic,2,2,0.4708559371416309,2.918264492960828,0.9166666666666666,2.5e-08,0.4708559621416309,9999,8,0.25,"[9999, 2]",0.18142542603468603,2.5953139393571534,isomap,5,0.4643778112431291,0.01326956391718963,0.4643778362431291,0.01326956391718963,2.5048315363282363,0.06395118279629888,0.011631285604640844,16
circle,1,2,0.542069120220777,3.5365384971742415,0.3055555555555556,1.5000000000000002e-08,0.542069135220777,9999,8,0.25,"[9999, 2]",0.18915515154346754,2.8657380769046115,isomap,5,0.5608446102198675,0.01764077844708124,0.5608446252198676,0.01764077844708124,2.9645975065737877,0.07012463059376196,0.015462824075205234,17
