manifold,manifold_dim,ambient_dim,reconstruction_error,smoothness,latent_utilization,complexity_penalty,score,n_points,k,mask_ratio,latent_shape,flat_baseline_error,relative_to_flat,projection_method,n_masks,reconstruction_error_mean,reconstruction_error_std,score_mean,score_std,relative_to_flat_mean,relative_to_flat_std,reconstruction_error_ci95,rank
plane4d,4,4,0.01059385484686813,0.1532748840541471,0.08410841084108411,5e-08,0.010593904846868129,9999,8,0.25,"[9999, 4]",0.01059385484686813,1.0,linear,5,0.010793912466103856,0.0008066243210513851,0.010793962466103856,0.0008066243210513851,1.0,0.0,0.0007070373911568005,1
plane3d,3,3,0.057308612558656796,0.4558107166751792,0.2511574074074074,3.75e-08,0.0573086500586568,9999,8,0.25,"[9999, 3]",0.057308612558656796,1.0,linear,5,0.06103366205473806,0.0029101480520962093,0.06103369955473805,0.0029101480520962062,1.0,0.0,0.0025508572366776832,2
klein_bottle,2,3,0.09529152596622287,0.8477132268835031,0.3715277777777778,2.75e-08,0.09529155346622287,9999,8,0.25,"[9999, 3]",0.05413273899609,1.760330767174108,linear,5,0.10258484125304505,0.004687057246155837,0.10258486875304507,0.004687057246155837,1.7404366618650713,0.06638191171589983,0.004108386817800267,3
torus2,2,3,0.17102880604252685,1.2041517202574878,0.38425925925925924,2.75e-08,0.17102883354252685,9999,8,0.25,"[9999, 3]",0.05885315581731116,2.906026085898017,linear,5,0.1721574222064172,0.0062912725235266444,0.17215744970641716,0.0062912725235266444,2.8257295194068783,0.10612585291989696,0.00551454350681223,4
cone,2,3,0.18848961419215415,1.3282341301034633,0.10243055555555555,2.75e-08,0.18848964169215415,9999,8,0.25,"[9999, 3]",0.06028525365460796,3.1266288646982705,linear,5,0.1897136140609458,0.0025751186626225184,0.18971364156094578,0.0025751186626225184,3.2006471756383212,0.07583444367509186,0.0022571910288629008,5
plane2d,2,2,0.19766264544960957,1.3533102887505775,0.7430555555555556,2.5e-08,0.19766267044960956,9999,8,0.25,"[9999, 2]",0.19766264544960957,1.0,linear,5,0.19255250392087028,0.005720942938317366,0.19255252892087024,0.005720942938317366,1.0,0.0,0.005014627583746206,6
s2_r,3,4,0.19561422828269373,1.5191603681224501,0.13771377137713772,4e-08,0.19561426828269374,9999,8,0.25,"[9999, 4]",0.00971845613780089,20.128117625785535,linear,5,0.19946953795762057,0.007690536327251316,0.1994695779576206,0.007690536327251317,20.060003033855086,1.840986567854352,0.00674105230837688,7
sphere3,3,4,0.20844756658930969,1.6117921561171147,0.30953095309530954,4e-08,0.2084476065893097,9999,8,0.25,"[9999, 4]",0.00944061535409547,22.07987072568127,linear,5,0.21466226552347062,0.008047850182776532,0.21466230552347065,0.008047850182776534,21.348909916663327,0.7878887888624286,0.0070542517119175936,8
s1_r2,3,4,0.231681730365855,1.7522250766570266,0.086008600860086,4e-08,0.231681770365855,9999,8,0.25,"[9999, 4]",0.012428441927421569,18.641253000079004,linear,5,0.24112213227562043,0.006545525159814203,0.2411221722756204,0.006545525159814193,23.354095225420405,2.626179856966661,0.005737405768665655,9
h2_r,3,3,0.24788411186769455,1.7998817950801087,0.49421296296296297,3.75e-08,0.24788414936769454,9999,8,0.25,"[9999, 3]",0.05726714556488329,4.328557140792769,linear,5,0.2521836111340668,0.007813800407647594,0.2521836486340668,0.007813800407647594,4.1676051125985385,0.212611491580029,0.00684909803865331,10
s2_s1,3,5,0.29401244269871823,1.8796946479317105,0.10991099109910991,4.2500000000000003e-08,0.29401248519871825,9999,8,0.25,"[9999, 5]",0.009829385443679266,29.911579353903694,linear,5,0.2873140143697115,0.009041946224826314,0.28731405686971156,0.009041946224826314,29.0548237974146,0.8692703103026135,0.007925615311782819,11
sphere2,2,3,0.3167839431889421,2.162112567989241,0.3431712962962963,2.75e-08,0.3167839706889421,9999,8,0.25,"[9999, 3]",0.05810719771546118,5.451716063475766,linear,5,0.3182817019361007,0.016587550823249173,0.3182817294361008,0.016587550823249173,5.257070765506149,0.20703244447295974,0.014539629358638957,12
t2_r,3,5,0.33771863484390274,2.4079018157132195,0.17451745174517452,4.2500000000000003e-08,0.33771867734390276,9999,8,0.25,"[9999, 5]",0.008888612925630443,37.99452599292362,linear,5,0.34544305946843445,0.008559768317277072,0.3454431019684344,0.008559768317277072,34.6081461372299,2.512787127072022,0.007502967740999563,13
cylinder,2,3,0.3688878971797535,2.425070095577745,0.20891203703703703,2.75e-08,0.3688879246797535,9999,8,0.25,"[9999, 3]",0.06113781636410455,6.033710706690144,linear,5,0.35632389489551247,0.017192916207167296,0.3563239223955125,0.017192916207167296,5.958069999497836,0.23399634604469688,0.0150702555133081,14
mobius,2,3,0.41463347173875054,2.4464546386161516,0.20949074074074073,2.75e-08,0.41463349923875054,9999,8,0.25,"[9999, 3]",0.06047073605890968,6.856762440179674,linear,5,0.41014403487400797,0.01495136777150133,0.4101440623740079,0.014951367771501328,6.733869602800216,0.3172450759329518,0.013105451679921195,15
hyperbolic,2,2,0.4473788418286786,2.816739130689642,0.9166666666666666,2.5e-08,0.4473788668286786,9999,8,0.25,"[9999, 2]",0.19175806540492427,2.3330379396766174,linear,5,0.4519048717041472,0.01999928168812853,0.45190489670414735,0.01999928168812853,2.3481994176531384,0.08021179514816311,0.017530143315482277,16
circle,1,2,0.5661130263881357,3.5751312794139958,0.3055555555555556,1.5000000000000002e-08,0.5661130413881357,9999,8,0.25,"[9999, 2]",0.19360512808783928,2.9240600803264276,linear,5,0.5930939325388953,0.01779330388910109,0.5930939475388952,0.01779330388910109,3.0753282118496084,0.0834909372643086,0.015596518519813835,17
