asset,n_bars,n_train,n_test,trades,gross_return,gross_sharpe,net_return,net_sharpe,max_drawdown,hit_rate,cost_drag,edge_bps_per_trade,verdict
VVVUSDT_4h,2834,1417,1340,3,7.769459904822805,2.474149552667191,7.749750801093425,2.471724961886231,-0.5308558176367442,0.5168269230769231,0.019709103729379507,25898.19968274268,PROMISING — net Sharpe >= 1.0 after costs
STGUSDT_4h,3000,1500,1423,21,0.6068315763814118,0.7484193924782887,0.5817222341782915,0.7234840085543216,-0.4393120492569248,0.49025069637883006,0.025109342203120333,288.9674173244818,MARGINAL — signal exists but costs eat most edge
GNOUSDT_4h,3000,1500,1423,45,0.16077384799492525,0.3370314568937498,0.12225145259603674,0.26072085998588806,-0.4838231760182309,0.512396694214876,0.038522395398888507,35.72752177665006,"WEAK — barely positive, not tradeable as-is"
MORPHOUSDT_4h,3000,1500,1423,7,-0.06675303868658111,-0.11945766921094769,-0.07163974640157311,-0.1285465952755578,-0.5738450429855486,0.4925137903861308,0.004886707714992,-95.36148383797301,NEGATIVE — signal does not survive costs
GRASSUSDT_4h,3000,1500,1423,19,-0.3592949048370031,-0.5036383283661249,-0.3683602087512662,-0.5197578549191302,-0.6951114836151128,0.4560530679933665,0.009065303914263079,-189.10258149315953,NEGATIVE — signal does not survive costs
SIGNUSDT_4h,2293,1146,1070,16,-0.5954740708789601,-1.640828314481957,-0.6002993723163101,-1.6625939180294664,-0.7345349381412873,0.47639956092206365,0.004825301437350049,-372.17129429935005,NEGATIVE — signal does not survive costs
ENSUSDT_4h,3000,1500,1423,11,-0.7177104907669765,-2.305639559497285,-0.7200297989172182,-2.3206647839180152,-0.7726084225744414,0.483271375464684,0.002319308150241728,-652.4640825154331,NEGATIVE — signal does not survive costs
POPCATUSDT_4h,3000,1500,1423,5,-0.6589799731423359,-1.5082679432540531,-0.6602564034404268,-1.5135255447644507,-0.7938503775905782,0.487987987987988,0.0012764302980908804,-1317.9599462846718,NEGATIVE — signal does not survive costs
DRIFTUSDT_4h,3000,1500,1423,7,-0.9567517205634306,-3.8890718352611375,-0.956978179056781,-3.8954144691718646,-0.9647797335605669,0.4520884520884521,0.0002264584933503455,-1366.788172233472,NEGATIVE — signal does not survive costs
NILUSDT_4h,2526,1263,1186,3,-0.7162095072322662,-1.5898881744866853,-0.7168473180347643,-1.5927971752462988,-0.873836990183218,0.46457399103139013,0.0006378108024981399,-2387.365024107554,NEGATIVE — signal does not survive costs
