manifold,manifold_dim,ambient_dim,reconstruction_error,smoothness,latent_utilization,complexity_penalty,score,n_points,k,mask_ratio,latent_shape,flat_baseline_error,relative_to_flat,n_masks,reconstruction_error_mean,reconstruction_error_std,score_mean,score_std,reconstruction_error_ci95,rank
plane4d,4,4,0.012033233238728918,0.1758965827808485,0.08060806080608061,5e-08,0.012033283238728917,9999,8,0.25,"[9999, 4]",0.012033233238728918,1.0,10,0.012464241137480726,0.0008575103360396438,0.012464291137480724,0.0008575103360396438,0.0005314904126882425,1
klein_bottle,2,3,0.05979401015233019,0.4672438652681421,0.20081018518518517,2.75e-08,0.05979403765233019,9999,8,0.25,"[9999, 3]",0.05979401015233019,1.0,10,0.06012414184089811,0.0025508081223367188,0.060124169340898106,0.0025508081223367188,0.0015810072539657251,2
plane3d,3,3,0.06193202697698256,0.4672438652681421,0.20081018518518517,3.75e-08,0.06193206447698256,9999,8,0.25,"[9999, 3]",0.06193202697698256,1.0,10,0.06168876165349939,0.0020386572798398108,0.06168879915349938,0.002038657279839808,0.0012635728730643054,3
torus2,2,3,0.17884976421208235,1.2397977361975616,0.38599537037037035,2.75e-08,0.17884979171208235,9999,8,0.25,"[9999, 3]",0.06311819872614399,2.833568888555775,10,0.18177926694935576,0.00876638093514347,0.18177929444935575,0.00876638093514347,0.005433459195979116,4
plane2d,2,2,0.2013907277776432,1.4186779519032322,0.6527777777777778,2.5e-08,0.20139075277764318,9999,8,0.25,"[9999, 2]",0.2013907277776432,1.0,10,0.2044959422391175,0.006571759752622671,0.20449596723911742,0.006571759752622671,0.0040732188945276195,5
cone,2,3,0.20437972512549774,1.4281681745770924,0.09722222222222222,2.75e-08,0.20437975262549773,9999,8,0.25,"[9999, 3]",0.06150342264941276,3.323062625156995,10,0.21445933763189298,0.006555683391630081,0.21445936513189298,0.006555683391630081,0.00406325466275178,6
sphere3,3,4,0.23273351285126778,1.6665957860505052,0.3067306730673067,4e-08,0.2327335528512678,9999,8,0.25,"[9999, 4]",0.012555030596396186,18.53707253553583,10,0.22505458192401018,0.013465844680133765,0.2250546219240102,0.013465844680133758,0.008346217002227707,7
s2_r,3,4,0.25700726811219954,1.6693275978778324,0.15991599159915992,4e-08,0.2570073081121995,9999,8,0.25,"[9999, 4]",0.012207974374553187,21.05240887857008,10,0.22933589351854825,0.01805478405074922,0.22933593351854822,0.018054784050749215,0.011190471091518328,8
s1_r2,3,4,0.2648677895526005,1.7682811350466645,0.09480948094809481,4e-08,0.26486782955260046,9999,8,0.25,"[9999, 4]",0.01668285790793574,15.87664361911322,10,0.2431165509451584,0.01601465963822729,0.24311659094515833,0.01601465963822728,0.00992598888019661,9
h2_r,3,3,0.24321730675115302,1.7053351028955694,0.4461805555555556,3.75e-08,0.24321734425115302,9999,8,0.25,"[9999, 3]",0.057757237655353226,4.211027338296025,10,0.24443829135079156,0.012474645317029605,0.24443832885079156,0.012474645317029605,0.007731865272095095,10
s2_s1,3,5,0.28346113389464883,1.9318045345035735,0.11071107110711072,4.2500000000000003e-08,0.28346117639464885,9999,8,0.25,"[9999, 5]",0.011976041515736134,23.66901730610987,10,0.279698779919287,0.014114017573654306,0.27969882241928695,0.014114017573654308,0.00874795872380462,11
sphere2,2,3,0.31857420825097127,2.139655878776988,0.34085648148148145,2.75e-08,0.31857423575097127,9999,8,0.25,"[9999, 3]",0.058330321518642224,5.461554127541638,10,0.31443150664419434,0.011872642035079007,0.3144315341441943,0.011872642035079007,0.007358739772242451,12
cylinder,2,3,0.336202842079023,2.3061190938394787,0.1892361111111111,2.75e-08,0.336202869579023,9999,8,0.25,"[9999, 3]",0.05305673482585343,6.336666649060327,10,0.32927110784799735,0.012225386196660805,0.32927113534799723,0.012225386196660807,0.00757737286869974,13
torus3,3,6,0.36113868001599797,2.4111645731869835,0.17631763176317633,4.5e-08,0.361138725015998,9999,8,0.25,"[9999, 6]",0.015203687732881178,23.753360787262125,10,0.3473936637372648,0.017820152872178037,0.3473937087372649,0.017820152872178037,0.0110450451803809,14
t2_r,3,5,0.3785229926956465,2.4111645731869835,0.17631763176317633,4.2500000000000003e-08,0.3785230351956465,9999,8,0.25,"[9999, 5]",0.01323953827497584,28.590346946697977,10,0.3611080895209276,0.015258147828063772,0.3611081320209276,0.015258147828063772,0.009457098002397617,15
mobius,2,3,0.4195182536288766,2.529567163485341,0.20775462962962962,2.75e-08,0.4195182811288766,9999,8,0.25,"[9999, 3]",0.05852591399129231,7.168076925569997,10,0.4014327825126435,0.025408643015876788,0.4014328100126436,0.025408643015876788,0.01574844010012289,16
hyperbolic,2,2,0.45723225604813744,2.815801033501911,0.9166666666666666,2.5e-08,0.45723228104813746,9999,8,0.25,"[9999, 2]",0.20717349702018825,2.207001680352878,10,0.4454429572466972,0.01847934167049846,0.4454429822466972,0.01847934167049846,0.011453614630490234,17
circle,1,2,0.5850311842567685,3.562533289185318,0.3055555555555556,1.5000000000000002e-08,0.5850311992567685,9999,8,0.25,"[9999, 2]",0.20036203448957937,2.9198704522397696,10,0.5946310427774929,0.030960338954929053,0.5946310577774929,0.030960338954929053,0.01918941689276894,18
