manifold,manifold_dim,ambient_dim,reconstruction_error,smoothness,latent_utilization,complexity_penalty,score,n_points,k,mask_ratio,latent_shape,flat_baseline_error,relative_to_flat,n_masks,reconstruction_error_mean,reconstruction_error_std,score_mean,score_std,reconstruction_error_ci95,rank
plane4d,4,4,0.01059385484686813,0.1532748840541471,0.08410841084108411,5e-08,0.010593904846868129,9999,8,0.25,"[9999, 4]",0.01059385484686813,1.0,10,0.010874631523388627,0.0009130161251351043,0.010874681523388626,0.0009130161251351043,0.0005658932571940945,1
plane3d,3,3,0.057308612558656796,0.4558107166751792,0.2511574074074074,3.75e-08,0.0573086500586568,9999,8,0.25,"[9999, 3]",0.057308612558656796,1.0,10,0.06169839751573216,0.0029662976150835983,0.061698435015732155,0.0029662976150835957,0.0018385303095915626,2
klein_bottle,2,3,0.06147964576382974,0.4558107166751792,0.2511574074074074,2.75e-08,0.06147967326382974,9999,8,0.25,"[9999, 3]",0.06147964576382974,1.0,10,0.061740111479039926,0.0033190766086038893,0.061740138979039925,0.0033190766086038893,0.002057184995107999,3
torus2,2,3,0.17102880604252685,1.2041517202574878,0.38425925925925924,2.75e-08,0.17102883354252685,9999,8,0.25,"[9999, 3]",0.05885315581731116,2.906026085898017,10,0.16979404290187866,0.006015725673459729,0.16979407040187866,0.006015725673459729,0.0037285854017490836,4
cone,2,3,0.18848961419215415,1.3282341301034633,0.10243055555555555,2.75e-08,0.18848964169215415,9999,8,0.25,"[9999, 3]",0.06028525365460796,3.1266288646982705,10,0.19047413774332764,0.004408843359498623,0.19047416524332764,0.004408843359498623,0.0027326294251331434,5
plane2d,2,2,0.19766264544960957,1.3533102887505775,0.7430555555555556,2.5e-08,0.19766267044960956,9999,8,0.25,"[9999, 2]",0.19766264544960957,1.0,10,0.19436807587131305,0.005804485266000189,0.194368100871313,0.005804485266000189,0.0035976572407479864,6
s2_r,3,4,0.19561422828269373,1.5191603681224501,0.13771377137713772,4e-08,0.19561426828269374,9999,8,0.25,"[9999, 4]",0.00971845613780089,20.128117625785535,10,0.20469164678698756,0.010567344185093279,0.2046916867869876,0.010567344185093279,0.006549707782990816,7
sphere3,3,4,0.20844756658930969,1.6117921561171147,0.30953095309530954,4e-08,0.2084476065893097,9999,8,0.25,"[9999, 4]",0.00944061535409547,22.07987072568127,10,0.21783532019011315,0.013647293379157313,0.21783536019011313,0.013647293379157311,0.008458680071035908,8
s1_r2,3,4,0.231681730365855,1.7522250766570266,0.086008600860086,4e-08,0.231681770365855,9999,8,0.25,"[9999, 4]",0.012428441927421569,18.641253000079004,10,0.2412578567966069,0.006352162244198638,0.24125789679660695,0.006352162244198633,0.0039371109486845,9
h2_r,3,3,0.24788411186769455,1.7998817950801087,0.49421296296296297,3.75e-08,0.24788414936769454,9999,8,0.25,"[9999, 3]",0.05726714556488329,4.328557140792769,10,0.2521203746994298,0.006439476217155948,0.25212041219942977,0.006439476217155948,0.003991228709800776,10
s2_s1,3,5,0.29401244269871823,1.8796946479317105,0.10991099109910991,4.2500000000000003e-08,0.29401248519871825,9999,8,0.25,"[9999, 5]",0.009829385443679266,29.911579353903694,10,0.2770544435858854,0.013422787897009122,0.2770544860858854,0.013422787897009122,0.008319530131562527,11
sphere2,2,3,0.3167839431889421,2.162112567989241,0.3431712962962963,2.75e-08,0.3167839706889421,9999,8,0.25,"[9999, 3]",0.05810719771546118,5.451716063475766,10,0.3076326613719643,0.018867764083908486,0.3076326888719644,0.018867764083908486,0.011694361336534738,12
t2_r,3,5,0.33771863484390274,2.4079018157132195,0.17451745174517452,4.2500000000000003e-08,0.33771867734390276,9999,8,0.25,"[9999, 5]",0.008888612925630443,37.99452599292362,10,0.3523118667120905,0.015159188661138441,0.3523119092120905,0.01515918866113844,0.009395762475281596,13
torus3,3,6,0.3435874815755601,2.4079018157132195,0.17451745174517452,4.5e-08,0.34358752657556013,9999,8,0.25,"[9999, 6]",0.009486675450397334,36.21790197968347,10,0.3531211608291766,0.008866627172694926,0.3531212058291766,0.008866627172694926,0.005495592457733996,14
cylinder,2,3,0.3688878971797535,2.425070095577745,0.20891203703703703,2.75e-08,0.3688879246797535,9999,8,0.25,"[9999, 3]",0.06113781636410455,6.033710706690144,10,0.35338949101663875,0.016883833538699516,0.35338951851663875,0.016883833538699516,0.010464708445016497,15
mobius,2,3,0.41463347173875054,2.4464546386161516,0.20949074074074073,2.75e-08,0.41463349923875054,9999,8,0.25,"[9999, 3]",0.06047073605890968,6.856762440179674,10,0.3957496820371607,0.018768014484346573,0.39574970953716077,0.018768014484346573,0.011632535894194882,16
hyperbolic,2,2,0.4473788418286786,2.816739130689642,0.9166666666666666,2.5e-08,0.4473788668286786,9999,8,0.25,"[9999, 2]",0.19175806540492427,2.3330379396766174,10,0.44994053687877206,0.017259079995847738,0.44994056187877207,0.017259079995847738,0.010697288608761938,17
circle,1,2,0.5661130263881357,3.5751312794139958,0.3055555555555556,1.5000000000000002e-08,0.5661130413881357,9999,8,0.25,"[9999, 2]",0.19360512808783928,2.9240600803264276,10,0.5960694358733591,0.02151154347549203,0.5960694508733592,0.02151154347549203,0.013332992780184703,18
