manifold,manifold_dim,ambient_dim,reconstruction_error,smoothness,latent_utilization,complexity_penalty,score,n_points,k,mask_ratio,latent_shape,flat_baseline_error,relative_to_flat,n_masks,reconstruction_error_mean,reconstruction_error_std,score_mean,score_std,reconstruction_error_ci95,rank
plane4d,4,4,0.013774037900051694,0.17494574523923892,0.06840684068406841,5e-08,0.013774087900051694,9999,8,0.25,"[9999, 4]",0.013774037900051694,1.0,10,0.013434720997874012,0.0015171588320976126,0.013434770997874013,0.001517158832097613,0.0009403447864072081,1
plane3d,3,3,0.06847689678359262,0.5134862836504752,0.2065972222222222,3.75e-08,0.06847693428359261,9999,8,0.25,"[9999, 3]",0.06847689678359262,1.0,10,0.06619101288400538,0.0031922350421800427,0.06619105038400537,0.003192235042180042,0.001978567777738952,2
klein_bottle,2,3,0.0622329477685836,0.5134862836504752,0.2065972222222222,2.75e-08,0.0622329752685836,9999,8,0.25,"[9999, 3]",0.0622329477685836,1.0,10,0.06770075692050839,0.004131342167721447,0.06770078442050839,0.004131342167721447,0.002560632404525438,3
cone,2,3,0.19973512081560452,1.3811857446843698,0.10706018518518519,2.75e-08,0.19973514831560452,9999,8,0.25,"[9999, 3]",0.06895543587469011,2.896582673751421,10,0.19964475173826626,0.0035482897061696887,0.19964477923826626,0.0035482897061696887,0.0021992527448466623,4
torus2,2,3,0.219881927331719,1.497883547574215,0.3726851851851852,2.75e-08,0.219881954831719,9999,8,0.25,"[9999, 3]",0.0672031190845121,3.271900624957657,10,0.2050598278107898,0.009602063801115852,0.2050598553107898,0.009602063801115852,0.005951420802556905,5
plane2d,2,2,0.20730869817641864,1.4374371995250748,0.75,2.5e-08,0.20730872317641863,9999,8,0.25,"[9999, 2]",0.20730869817641864,1.0,10,0.21345964065383552,0.00868469791762186,0.2134596656538355,0.00868469791762186,0.005382831537200464,6
s1_r2,3,4,0.24096433768256353,1.8389019417705756,0.07230723072307231,4e-08,0.24096437768256354,9999,8,0.25,"[9999, 4]",0.012442706598522315,19.36591012370092,10,0.24410092501601435,0.009893576626817512,0.24410096501601433,0.009893576626817502,0.006132102323845213,7
s2_r,3,4,0.276590769135674,1.995938977219082,0.1274127412741274,4e-08,0.27659080913567397,9999,8,0.25,"[9999, 4]",0.011871060450408505,23.299583915955544,10,0.257245928784406,0.012584650340012217,0.257245968784406,0.012584650340012205,0.007800047091725201,8
h2_r,3,3,0.2814088866923854,1.976703541444305,0.42997685185185186,3.75e-08,0.2814089241923854,9999,8,0.25,"[9999, 3]",0.07586507256494354,3.7093339158344323,10,0.27621404218713774,0.011566060257573788,0.2762140796871377,0.01156606025757379,0.007168718417862636,9
sphere3,3,4,0.29410613994891144,2.102176270276873,0.3039303930393039,4e-08,0.2941061799489114,9999,8,0.25,"[9999, 4]",0.01022470538066331,28.764265472638176,10,0.2907084703789991,0.017216707277627225,0.29070851037899903,0.01721670727762722,0.01067102572591699,10
s2_s1,3,5,0.3523309463457744,2.421904785309007,0.1074107410741074,4.2500000000000003e-08,0.3523309888457744,9999,8,0.25,"[9999, 5]",0.014627645641636449,24.08664763814704,10,0.3392315557781977,0.016661418715122032,0.33923159827819777,0.016661418715122032,0.010326854309150181,11
cylinder,2,3,0.3685945232319136,2.562173507949387,0.18518518518518517,2.75e-08,0.3685945507319136,9999,8,0.25,"[9999, 3]",0.06823986563222625,5.401454411097858,10,0.3619353388503063,0.020127656450066263,0.3619353663503063,0.020127656450066263,0.01247525071534335,12
sphere2,2,3,0.4217073094252565,2.7200770203830262,0.3350694444444444,2.75e-08,0.4217073369252565,9999,8,0.25,"[9999, 3]",0.06624196009081956,6.366165929375944,10,0.3938263456244183,0.022577485271642682,0.39382637312441837,0.022577485271642682,0.013993670350270068,13
torus3,3,6,0.4146316535893217,2.8771020981422484,0.17341734173417342,4.5e-08,0.4146316985893217,9999,8,0.25,"[9999, 6]",0.011228677131326968,36.9261355313653,10,0.4193518460859561,0.015783620932118835,0.4193518910859561,0.015783620932118835,0.009782789606560259,14
t2_r,3,5,0.3954766231327006,2.8771020981422484,0.17341734173417342,4.2500000000000003e-08,0.3954766656327006,9999,8,0.25,"[9999, 5]",0.011120696121398734,35.56221830139879,10,0.4208493390407293,0.022832289963304123,0.4208493815407294,0.02283228996330412,0.014151599934362892,15
mobius,2,3,0.47119379576781983,2.9870784485066424,0.21180555555555555,2.75e-08,0.47119382326781983,9999,8,0.25,"[9999, 3]",0.06006569550933115,7.844640635096289,10,0.45364059113378125,0.012172973200368864,0.4536406186337813,0.012172973200368862,0.007544886957033548,16
hyperbolic,2,2,0.5349651642952432,3.4434602316596967,0.9166666666666666,2.5e-08,0.5349651892952432,9999,8,0.25,"[9999, 2]",0.21115210509587337,2.5335535445045307,10,0.5568073419054368,0.020492264821899243,0.5568073669054369,0.020492264821899243,0.01270123732549908,17
circle,1,2,0.7538599054842801,4.247030267577647,0.3055555555555556,1.5000000000000002e-08,0.7538599204842801,9999,8,0.25,"[9999, 2]",0.22194519971340868,3.3966037853385305,10,0.7194290385556568,0.03820500351832466,0.7194290535556569,0.03820500351832466,0.02367970650999987,18
