manifold,manifold_dim,ambient_dim,reconstruction_error,smoothness,latent_utilization,complexity_penalty,score,n_points,k,mask_ratio,latent_shape,n_masks,reconstruction_error_mean,reconstruction_error_std,score_mean,score_std,reconstruction_error_ci95,rank
plane4d,4,4,0.014392934509366353,0.1758965827808485,0.08060806080608061,5e-08,0.014392984509366352,9999,8,0.25,"[9999, 4]",10,0.012592837061401749,0.0010415141220768134,0.01259288706140175,0.0010415141220768132,0.0006455371408347043,1
plane3d,3,3,0.05484142835267748,0.4672438652681421,0.20081018518518517,3.75e-08,0.05484146585267748,9999,8,0.25,"[9999, 3]",10,0.059278827861049085,0.00462616286587521,0.05927886536104908,0.004626162865875206,0.00286732545067931,2
klein_bottle,2,3,0.06554325682722971,0.4672438652681421,0.20081018518518517,2.75e-08,0.06554328432722971,9999,8,0.25,"[9999, 3]",10,0.06143024238260242,0.0038068498247152273,0.06143026988260242,0.0038068498247152273,0.0023595099666373232,3
torus2,2,3,0.1870586722499983,1.2397977361975616,0.38599537037037035,2.75e-08,0.1870586997499983,9999,8,0.25,"[9999, 3]",10,0.17881629355844034,0.012174428027368737,0.1788163210584403,0.012174428027368737,0.007545788668150086,4
cone,2,3,0.20437972512549774,1.4281681745770924,0.09722222222222222,2.75e-08,0.20437975262549773,9999,8,0.25,"[9999, 3]",10,0.21445933763189298,0.006555683391630081,0.21445936513189298,0.006555683391630081,0.00406325466275178,5
sphere3,3,4,0.23273351285126778,1.6665957860505052,0.3067306730673067,4e-08,0.2327335528512678,9999,8,0.25,"[9999, 4]",10,0.22505458192401018,0.013465844680133765,0.2250546219240102,0.013465844680133758,0.008346217002227707,6
s2_r,3,4,0.25700726811219954,1.6693275978778324,0.15991599159915992,4e-08,0.2570073081121995,9999,8,0.25,"[9999, 4]",10,0.22933589351854825,0.01805478405074922,0.22933593351854822,0.018054784050749215,0.011190471091518328,7
s1_r2,3,4,0.2648677895526005,1.7682811350466645,0.09480948094809481,4e-08,0.26486782955260046,9999,8,0.25,"[9999, 4]",10,0.2431165509451584,0.01601465963822729,0.24311659094515833,0.01601465963822728,0.00992598888019661,8
h2_r,3,3,0.24321730675115302,1.7053351028955694,0.4461805555555556,3.75e-08,0.24321734425115302,9999,8,0.25,"[9999, 3]",10,0.24443829135079156,0.012474645317029605,0.24443832885079156,0.012474645317029605,0.007731865272095095,9
s2_s1,3,5,0.28346113389464883,1.9318045345035735,0.11071107110711072,4.2500000000000003e-08,0.28346117639464885,9999,8,0.25,"[9999, 5]",10,0.279698779919287,0.014114017573654306,0.27969882241928695,0.014114017573654308,0.00874795872380462,10
sphere2,2,3,0.31857420825097127,2.139655878776988,0.34085648148148145,2.75e-08,0.31857423575097127,9999,8,0.25,"[9999, 3]",10,0.31443150664419434,0.011872642035079007,0.3144315341441943,0.011872642035079007,0.007358739772242451,11
cylinder,2,3,0.336202842079023,2.3061190938394787,0.1892361111111111,2.75e-08,0.336202869579023,9999,8,0.25,"[9999, 3]",10,0.32927110784799735,0.012225386196660805,0.32927113534799723,0.012225386196660807,0.00757737286869974,12
torus3,3,6,0.37538178650789433,2.4111645731869835,0.17631763176317633,4.5e-08,0.37538183150789434,9999,8,0.25,"[9999, 6]",10,0.358672995682073,0.022273021169387237,0.3586730406820731,0.022273021169387234,0.013804961544608486,13
t2_r,3,5,0.3785229926956465,2.4111645731869835,0.17631763176317633,4.2500000000000003e-08,0.3785230351956465,9999,8,0.25,"[9999, 5]",10,0.3611080895209276,0.015258147828063772,0.3611081320209276,0.015258147828063772,0.009457098002397617,14
mobius,2,3,0.4195182536288766,2.529567163485341,0.20775462962962962,2.75e-08,0.4195182811288766,9999,8,0.25,"[9999, 3]",10,0.4014327825126435,0.025408643015876788,0.4014328100126436,0.025408643015876788,0.01574844010012289,15
hyperbolic,2,2,0.45723225604813744,2.815801033501911,0.9166666666666666,2.5e-08,0.45723228104813746,9999,8,0.25,"[9999, 2]",10,0.4454429572466972,0.01847934167049846,0.4454429822466972,0.01847934167049846,0.011453614630490234,16
circle,1,2,0.5698576452085182,3.562533289185318,0.3055555555555556,1.5000000000000002e-08,0.5698576602085182,9999,8,0.25,"[9999, 2]",10,0.5893031196938975,0.0267052592886804,0.5893031346938976,0.0267052592886804,0.016552091192089235,17
