manifold,manifold_dim,ambient_dim,reconstruction_error,smoothness,latent_utilization,complexity_penalty,score,n_points,k,mask_ratio,latent_shape,n_masks,reconstruction_error_mean,reconstruction_error_std,score_mean,score_std,reconstruction_error_ci95,rank
plane4d,4,4,0.009331804752737337,0.1532748840541471,0.08410841084108411,5e-08,0.009331854752737337,9999,8,0.25,"[9999, 4]",10,0.010469836445155204,0.0010592832073264109,0.010469886445155206,0.0010592832073264109,0.0006565505339746843,1
klein_bottle,2,3,0.05413273899609,0.4558107166751792,0.2511574074074074,2.75e-08,0.05413276649609,9999,8,0.25,"[9999, 3]",10,0.058932554174662574,0.0025480053999343945,0.05893258167466257,0.002548005399934394,0.0015792701086233829,2
plane3d,3,3,0.05712334820110076,0.4558107166751792,0.2511574074074074,3.75e-08,0.05712338570110076,9999,8,0.25,"[9999, 3]",10,0.05926753732046862,0.0026775878677814096,0.05926757482046861,0.0026775878677814083,0.001659586154294915,3
torus2,2,3,0.16988930702660918,1.2041517202574878,0.38425925925925924,2.75e-08,0.16988933452660918,9999,8,0.25,"[9999, 3]",10,0.17170830853660587,0.0067190512941676436,0.1717083360366059,0.0067190512941676436,0.004164511137794068,4
cone,2,3,0.18848961419215415,1.3282341301034633,0.10243055555555555,2.75e-08,0.18848964169215415,9999,8,0.25,"[9999, 3]",10,0.19047413774332764,0.004408843359498623,0.19047416524332764,0.004408843359498623,0.0027326294251331434,5
s2_r,3,4,0.19561422828269373,1.5191603681224501,0.13771377137713772,4e-08,0.19561426828269374,9999,8,0.25,"[9999, 4]",10,0.20469164678698756,0.010567344185093279,0.2046916867869876,0.010567344185093279,0.006549707782990816,6
sphere3,3,4,0.20844756658930969,1.6117921561171147,0.30953095309530954,4e-08,0.2084476065893097,9999,8,0.25,"[9999, 4]",10,0.21783532019011315,0.013647293379157313,0.21783536019011313,0.013647293379157311,0.008458680071035908,7
s1_r2,3,4,0.231681730365855,1.7522250766570266,0.086008600860086,4e-08,0.231681770365855,9999,8,0.25,"[9999, 4]",10,0.2412578567966069,0.006352162244198638,0.24125789679660695,0.006352162244198633,0.0039371109486845,8
h2_r,3,3,0.24788411186769455,1.7998817950801087,0.49421296296296297,3.75e-08,0.24788414936769454,9999,8,0.25,"[9999, 3]",10,0.2521203746994298,0.006439476217155948,0.25212041219942977,0.006439476217155948,0.003991228709800776,9
s2_s1,3,5,0.29401244269871823,1.8796946479317105,0.10991099109910991,4.2500000000000003e-08,0.29401248519871825,9999,8,0.25,"[9999, 5]",10,0.2770544435858854,0.013422787897009122,0.2770544860858854,0.013422787897009122,0.008319530131562527,10
sphere2,2,3,0.3167839431889421,2.162112567989241,0.3431712962962963,2.75e-08,0.3167839706889421,9999,8,0.25,"[9999, 3]",10,0.3076326613719643,0.018867764083908486,0.3076326888719644,0.018867764083908486,0.011694361336534738,11
torus3,3,6,0.3665198583958579,2.4079018157132195,0.17451745174517452,4.5e-08,0.3665199033958579,9999,8,0.25,"[9999, 6]",10,0.34753238131730296,0.016264890952726305,0.3475324263173029,0.016264890952726305,0.01008108385575671,12
t2_r,3,5,0.33771863484390274,2.4079018157132195,0.17451745174517452,4.2500000000000003e-08,0.33771867734390276,9999,8,0.25,"[9999, 5]",10,0.3523118667120905,0.015159188661138441,0.3523119092120905,0.01515918866113844,0.009395762475281596,13
cylinder,2,3,0.3688878971797535,2.425070095577745,0.20891203703703703,2.75e-08,0.3688879246797535,9999,8,0.25,"[9999, 3]",10,0.35338949101663875,0.016883833538699516,0.35338951851663875,0.016883833538699516,0.010464708445016497,14
mobius,2,3,0.41463347173875054,2.4464546386161516,0.20949074074074073,2.75e-08,0.41463349923875054,9999,8,0.25,"[9999, 3]",10,0.3957496820371607,0.018768014484346573,0.39574970953716077,0.018768014484346573,0.011632535894194882,15
hyperbolic,2,2,0.4473788418286786,2.816739130689642,0.9166666666666666,2.5e-08,0.4473788668286786,9999,8,0.25,"[9999, 2]",10,0.44994053687877206,0.017259079995847738,0.44994056187877207,0.017259079995847738,0.010697288608761938,16
circle,1,2,0.5999833865215382,3.5751312794139958,0.3055555555555556,1.5000000000000002e-08,0.5999834015215382,9999,8,0.25,"[9999, 2]",10,0.5957004899456003,0.018322250370222757,0.5957005049456005,0.018322250370222757,0.01135624843383438,17
