manifold,manifold_dim,ambient_dim,reconstruction_error,smoothness,latent_utilization,complexity_penalty,score,n_points,k,mask_ratio,latent_shape,n_masks,reconstruction_error_mean,reconstruction_error_std,score_mean,score_std,reconstruction_error_ci95,rank
plane4d,4,4,0.014261128052094488,0.17494574523923892,0.06840684068406841,5e-08,0.014261178052094488,9999,8,0.25,"[9999, 4]",10,0.012377822626014964,0.0017204373596531402,0.012377872626014965,0.0017204373596531406,0.0010663381231174383,1
klein_bottle,2,3,0.0626133644142271,0.5134862836504752,0.2065972222222222,2.75e-08,0.0626133919142271,9999,8,0.25,"[9999, 3]",10,0.06790633792782656,0.002987443936744869,0.06790636542782655,0.002987443936744869,0.00185163693554606,2
plane3d,3,3,0.0635266530195768,0.5134862836504752,0.2065972222222222,3.75e-08,0.0635266905195768,9999,8,0.25,"[9999, 3]",10,0.06865609408822483,0.004768624340145852,0.06865613158822483,0.004768624340145852,0.0029556239872333676,3
cone,2,3,0.19973512081560452,1.3811857446843698,0.10706018518518519,2.75e-08,0.19973514831560452,9999,8,0.25,"[9999, 3]",10,0.19964475173826626,0.0035482897061696887,0.19964477923826626,0.0035482897061696887,0.0021992527448466623,4
torus2,2,3,0.24162198165889875,1.497883547574215,0.3726851851851852,2.75e-08,0.24162200915889875,9999,8,0.25,"[9999, 3]",10,0.21802873553533936,0.013389330299764298,0.21802876303533938,0.013389330299764298,0.008298792897945804,5
s1_r2,3,4,0.24096433768256353,1.8389019417705756,0.07230723072307231,4e-08,0.24096437768256354,9999,8,0.25,"[9999, 4]",10,0.24410092501601435,0.009893576626817512,0.24410096501601433,0.009893576626817502,0.006132102323845213,6
s2_r,3,4,0.276590769135674,1.995938977219082,0.1274127412741274,4e-08,0.27659080913567397,9999,8,0.25,"[9999, 4]",10,0.257245928784406,0.012584650340012217,0.257245968784406,0.012584650340012205,0.007800047091725201,7
h2_r,3,3,0.2814088866923854,1.976703541444305,0.42997685185185186,3.75e-08,0.2814089241923854,9999,8,0.25,"[9999, 3]",10,0.27621404218713774,0.011566060257573788,0.2762140796871377,0.01156606025757379,0.007168718417862636,8
sphere3,3,4,0.29410613994891144,2.102176270276873,0.3039303930393039,4e-08,0.2941061799489114,9999,8,0.25,"[9999, 4]",10,0.2907084703789991,0.017216707277627225,0.29070851037899903,0.01721670727762722,0.01067102572591699,9
s2_s1,3,5,0.3523309463457744,2.421904785309007,0.1074107410741074,4.2500000000000003e-08,0.3523309888457744,9999,8,0.25,"[9999, 5]",10,0.3392315557781977,0.016661418715122032,0.33923159827819777,0.016661418715122032,0.010326854309150181,10
cylinder,2,3,0.3685945232319136,2.562173507949387,0.18518518518518517,2.75e-08,0.3685945507319136,9999,8,0.25,"[9999, 3]",10,0.3619353388503063,0.020127656450066263,0.3619353663503063,0.020127656450066263,0.01247525071534335,11
sphere2,2,3,0.4217073094252565,2.7200770203830262,0.3350694444444444,2.75e-08,0.4217073369252565,9999,8,0.25,"[9999, 3]",10,0.3938263456244183,0.022577485271642682,0.39382637312441837,0.022577485271642682,0.013993670350270068,12
torus3,3,6,0.4313353143878335,2.8771020981422484,0.17341734173417342,4.5e-08,0.4313353593878335,9999,8,0.25,"[9999, 6]",10,0.4081020076009003,0.019096654784782206,0.4081020526009003,0.019096654784782206,0.011836229262733413,13
t2_r,3,5,0.3954766231327006,2.8771020981422484,0.17341734173417342,4.2500000000000003e-08,0.3954766656327006,9999,8,0.25,"[9999, 5]",10,0.4208493390407293,0.022832289963304123,0.4208493815407294,0.02283228996330412,0.014151599934362892,14
mobius,2,3,0.47119379576781983,2.9870784485066424,0.21180555555555555,2.75e-08,0.47119382326781983,9999,8,0.25,"[9999, 3]",10,0.45364059113378125,0.012172973200368864,0.4536406186337813,0.012172973200368862,0.007544886957033548,15
hyperbolic,2,2,0.5349651642952432,3.4434602316596967,0.9166666666666666,2.5e-08,0.5349651892952432,9999,8,0.25,"[9999, 2]",10,0.5568073419054368,0.020492264821899243,0.5568073669054369,0.020492264821899243,0.01270123732549908,16
circle,1,2,0.7358089106722042,4.247030267577647,0.3055555555555556,1.5000000000000002e-08,0.7358089256722042,9999,8,0.25,"[9999, 2]",10,0.7087011258547682,0.030678954597049786,0.7087011408547682,0.030678954597049786,0.019015013060875826,17
