manifold,manifold_dim,ambient_dim,reconstruction_error,smoothness,latent_utilization,complexity_penalty,score,n_points,k,mask_ratio,latent_shape,flat_baseline_error,relative_to_flat,projection_method,n_masks,reconstruction_error_mean,reconstruction_error_std,score_mean,score_std,relative_to_flat_mean,relative_to_flat_std,reconstruction_error_ci95,rank
plane4d,4,4,0.028402674726608613,0.2633014938944003,0.15221522152215222,5e-08,0.028402724726608614,9999,8,0.25,"[9999, 4]",0.028402674726608613,1.0,umap,5,0.02906089467977869,0.00127891013414957,0.02906094467977869,0.00127891013414957,1.0,0.0,0.001121014158852151,1
plane3d,3,3,0.03329098279165857,0.31223233664299527,0.38310185185185186,3.75e-08,0.03329102029165857,9999,8,0.25,"[9999, 3]",0.03329098279165857,1.0,umap,5,0.03487455036762965,0.0017713240452731135,0.03487458786762966,0.0017713240452731135,1.0,0.0,0.001552633982360954,2
s1_r2,3,4,0.056789980353446824,0.48714235684927154,0.10251025102510251,4e-08,0.056790020353446824,9999,8,0.25,"[9999, 4]",0.03100660777120262,1.8315444492509272,umap,5,0.05886377194303556,0.0027048741449045444,0.05886381194303555,0.0027048741449045444,2.1054462333675765,0.210835826061251,0.0023709267237665655,3
sphere3,3,4,0.06352164545790864,0.5679393947007867,0.11611161116111611,4e-08,0.06352168545790865,9999,8,0.25,"[9999, 4]",0.027760036639317986,2.2882406923029643,umap,5,0.06635543641696251,0.002463006435137768,0.06635547641696252,0.002463006435137768,2.385765223375479,0.09689412890127133,0.0021589203286510907,4
plane2d,2,2,0.08336583283242684,0.6447766928728409,0.9166666666666666,2.5e-08,0.08336585783242684,9999,8,0.25,"[9999, 2]",0.08336583283242684,1.0,umap,5,0.08469927495741839,0.0024940388702931354,0.08469929995741839,0.0024940388702931354,1.0,0.0,0.0021861214573808746,5
s2_r,3,4,0.10185359660941296,0.891535497271067,0.0889088908890889,4e-08,0.10185363660941296,9999,8,0.25,"[9999, 4]",0.02640833517868492,3.856873063759904,umap,5,0.09919933984475528,0.0038338095558391612,0.09919937984475528,0.0038338095558391612,3.5796684960008003,0.2661776746968606,0.003360482241620699,6
cone,2,3,0.13607649067394575,0.9751361764680508,0.13541666666666666,2.75e-08,0.13607651817394575,9999,8,0.25,"[9999, 3]",0.03607034763409799,3.7725306130764884,umap,5,0.13570921219109233,0.0017080776330972546,0.13570923969109233,0.0017080776330972546,3.8322129095636677,0.07047455362274506,0.0014971960577933431,7
t2_r,3,5,0.17068667616631625,1.2555585155513975,0.0351035103510351,4.2500000000000003e-08,0.17068671866631624,9999,8,0.25,"[9999, 5]",0.026554583955842027,6.427766913996973,umap,5,0.17282618137432165,0.008544397470068762,0.17282622387432167,0.008544397470068762,6.246474788337875,0.2050409676097719,0.007489494599381583,8
torus2,2,3,0.1727723991444602,1.2986507019653546,0.12037037037037036,2.75e-08,0.1727724266444602,9999,8,0.25,"[9999, 3]",0.036591366106327995,4.7216711899308255,umap,5,0.1783399480127419,0.0069695908255324925,0.1783399755127419,0.0069695908255324925,4.877478606286156,0.14948926636317403,0.006109115713609815,9
sphere2,2,3,0.1954184981167083,1.440589198307497,0.14641203703703703,2.75e-08,0.1954185256167083,9999,8,0.25,"[9999, 3]",0.033680691847537594,5.802092753952601,umap,5,0.1945825179293408,0.024731258089155505,0.19458254542934078,0.024731258089155505,5.561168484454396,0.6595426723146635,0.021677903508525758,10
s2_s1,3,5,0.21291625479828427,1.5281894609474083,0.024802480248024804,4.2500000000000003e-08,0.21291629729828426,9999,8,0.25,"[9999, 5]",0.027633629389273374,7.704968891307944,umap,5,0.21088216770973328,0.008796128290770342,0.21088221020973325,0.00879612829077034,7.526579456499041,0.47636223797913857,0.007710146392412836,11
h2_r,3,3,0.24252319366712358,1.740838615910388,0.11921296296296297,3.75e-08,0.24252323116712357,9999,8,0.25,"[9999, 3]",0.03487521307858694,6.954027581727683,umap,5,0.24145288622068078,0.007636449673415355,0.24145292372068078,0.007636449673415355,6.972903749630541,0.28540230278267015,0.0066936432659930175,12
cylinder,2,3,0.23817460074501734,1.8225328086740908,0.11863425925925926,2.75e-08,0.23817462824501734,9999,8,0.25,"[9999, 3]",0.03471239286808586,6.861370855363649,umap,5,0.24374654919919844,0.007884165733492097,0.24374657669919847,0.007884165733492097,7.168756772605302,0.5561318049238919,0.0069107759661774255,13
klein_bottle,2,3,0.22157873591871263,1.704780344282525,0.04282407407407408,2.75e-08,0.22157876341871263,9999,8,0.25,"[9999, 3]",0.03320887476136863,6.672274731105065,umap,5,0.2849470999260298,0.037805988317452764,0.2849471274260298,0.037805988317452764,8.091153816529113,0.9902200933177422,0.03313840985507981,14
circle,1,2,0.6178901446473709,3.916397307369284,0.1597222222222222,1.5000000000000002e-08,0.6178901596473709,9999,8,0.25,"[9999, 2]",0.08153849607455042,7.577894790730941,umap,5,0.5584170581907806,0.048387485955517784,0.5584170731907805,0.048387485955517784,6.629212491487804,0.6294291182844385,0.04241350147988682,15
hyperbolic,2,2,0.6061893577939204,3.768147231009519,0.1597222222222222,2.5e-08,0.6061893827939203,9999,8,0.25,"[9999, 2]",0.0831358922759083,7.291548105144788,umap,5,0.584806284069918,0.04291281594969648,0.5848063090699182,0.04291281594969648,6.834227650454865,0.35408826183818937,0.03761474163922774,16
mobius,2,3,0.7245457888346284,4.195149431604702,0.023148148148148147,2.75e-08,0.7245458163346284,9999,8,0.25,"[9999, 3]",0.03598137732953187,20.136688548605235,umap,5,0.7082530546405753,0.023690930115712654,0.7082530821405753,0.023690930115712654,19.663515125184244,0.5262436928989676,0.020766015834060736,17
